target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
MGG_08406T0,0,0,-5.05157882885643,0.0882561679056642,6.490682158336491,8.506404989196929,0.005902538577537293,-0.005519386857392743,0.0018866125958555005,0.0018866125958555005
MGG_05128T0,0,0,1.1850168731088284,0.03064819474548189,8.56974387842657,0.4682540549685615,3.5367273906075945e-4,-1.0508506253265385e-4,5.856391020962244e-4,5.856391020962244e-4
MGG_00289T0,0,0,1.1817194540860878,0.02339788898275649,9.785147858677956,0.4655586645846303,8.928861420855444e-5,1.8274179975947538e-5,4.581725946408431e-4,4.581725946408431e-4
MGG_03937T0,0,0,-1.4314499322907963,0.025950360639177328,8.932761529833591,0.6833101288449962,1.427608018339432e-4,2.979781379977113e-4,5.306604154694208e-4,5.306604154694208e-4
MGG_01778T0,0,0,-2.190506411650903,0.048549897780596936,7.147711130422245,1.5997509771389409,0.00125459951567513,-7.873035491237248e-4,0.0011024930588312807,0.0011024930588312807
MGG_10730T0,0,0,2.2867757934150545,0.04364913822433166,7.835950227887943,1.7443846746281686,6.632634739284248e-4,0.0012419837937983867,7.595114371244582e-4,0.0012419837937983867
MGG_09349T0,0,0,-1.4680363349921999,0.03168082352707254,8.227664185078845,0.7184576898102517,3.499351750119651e-4,-2.2874088829890943e-4,6.537394043415478e-4,6.537394043415478e-4
MGG_04120T0,0,0,3.0905596658457215,0.06026667372241643,7.3393857243613265,3.184151291611385,0.0026550245440223434,-0.002207611203153637,9.770474175418563e-4,9.770474175418563e-4
MGG_06950T0,0,0,-2.1837162402663455,0.05418061339721552,7.270816376737948,1.5914958985797276,0.0011254333843964547,0.0018101054837020751,0.001017302966030205,0.0018101054837020751
MGG_13563T0,0,0,-1.0882293476791778,0.022188310411200972,10.451398487573544,0.3949327207957432,4.127935175687774e-5,2.362452667332706e-4,4.5104176714693165e-4,4.5104176714693165e-4
MGG_05927T0,0,0,1.315500948277608,0.028119407454096322,8.647854624926854,0.5773568159272685,2.177904511222466e-4,5.460609801363312e-4,5.729106244472412e-4,5.729106244472412e-4
MGG_06653T0,0,0,-1.9936375982039243,0.02810826571182083,8.757381773936492,1.3253903407249876,1.912308349615892e-4,5.988437663647333e-4,5.558959336036453e-4,5.988437663647333e-4
MGG_06771T0,0,0,-1.86826593137662,0.022251642443182444,10.001390584715276,1.163595506240191,4.3754377379701485e-5,1.407098116316667e-4,4.513812140395369e-4,4.513812140395369e-4
MGG_10066T0,0,0,-1.6488424651286513,0.023545028732221578,9.50957543473314,0.9064228261682231,8.108697173036199e-5,2.1241487484050848e-4,4.732814062707776e-4,4.732814062707776e-4
MGG_05913T0,0,0,-2.9767148532865524,0.02444661101124007,9.854174648283571,2.9536218785412283,1.4210631862545794e-4,-1.2494739517790479e-4,4.555304713094264e-4,4.555304713094264e-4
MGG_00451T0,0,0,-2.5047734764640954,0.0409201620691014,7.489317573470041,2.092038257818511,7.741165098981055e-4,3.3818601885231476e-4,9.003431538634194e-4,9.003431538634194e-4
MGG_12522T0,0,0,-1.4184535226589505,0.03503586381180698,7.858409429958145,0.6707230835325344,4.7483312778023927e-4,-3.9540580077192434e-4,7.526786252592469e-4,7.526786252592469e-4
MGG_09610T0,0,0,-1.305037332473694,0.02226260538109327,10.012047359489843,0.5678107758690197,4.4464941996908916e-5,1.1047928650710981e-4,4.5115865635737406e-4,4.5115865635737406e-4
MGG_13711T0,0,0,-2.461119472426673,0.05004544402031195,6.930084872521295,2.0202899640416043,0.001206396336765355,6.740209467720993e-4,0.0012981501304248216,0.0012981501304248216
MGG_05406T0,0,0,-2.3162720006581656,0.0302848934069869,8.330223624698203,1.7885996339629775,2.867005491783305e-4,5.47598787972312e-5,6.30474219494228e-4,6.30474219494228e-4
MGG_15824T0,0,0,-1.7414687595632277,0.037858570941806086,7.628474911171957,1.0116017316033057,5.971917723078459e-4,4.4868536530790534e-4,8.360796214479183e-4,8.360796214479183e-4
MGG_05070T0,0,0,-2.14587936402722,0.048530205334073685,7.872405764955617,1.536502868872466,5.601955128304493e-4,0.0017949853169369045,7.485185873113897e-4,0.0017949853169369045
MGG_02633T0,0,0,-2.3214058130756974,0.03053066923003345,8.311730661375401,1.796660160064805,2.976737626817692e-4,2.300918437067988e-4,6.344480009519421e-4,6.344480009519421e-4
MGG_06402T0,0,0,-1.2089960069105412,0.03150218844184484,8.094115195014309,0.4876127120944496,3.04014711505985e-4,2.7938106735150283e-4,6.883731651195175e-4,6.883731651195175e-4
MGG_05351T0,0,0,-1.0770412058314716,0.02707296905967789,10.082140373254719,0.38716121678877535,4.5792830415016954e-5,6.871528232912594e-4,4.499548142971273e-4,6.871528232912594e-4
MGG_07877T0,0,0,1.8597940879278934,0.04919492507609023,7.254004079473199,1.1536312761377394,0.0013922812906155427,-3.623918297787261e-4,0.0010278593626265892,0.0010278593626265892
MGG_00837T0,0,0,-1.3053234120582968,0.03292967681035115,8.385958092875324,0.5686793124323942,2.663385894593127e-4,8.18025025374866e-4,6.190166246308731e-4,8.18025025374866e-4
MGG_13349T0,0,0,-1.322797533339028,0.03252536673181872,8.11384271921955,0.5835698166457154,3.74712241220037e-4,8.33556234432931e-5,6.831872398192628e-4,6.831872398192628e-4
MGG_17486T0,0,0,-3.868118163412647,0.08115312419604533,6.233199356733937,4.98788311006766,0.004187295230045932,-0.003531693189969065,0.0023985343367328256,0.0023985343367328256
MGG_07024T0,0,0,-2.2790288514861845,0.042927343400837634,7.513181676559574,1.7325526731764487,7.448252984443981e-4,0.0010979315130090403,8.890563658570463e-4,0.0010979315130090403
MGG_07493T0,0,0,-1.5708482050566128,0.03061896907437028,8.256089163278553,0.8231045804990516,2.905428944494405e-4,5.84286189336067e-4,6.469783727278031e-4,6.469783727278031e-4
MGG_00295T0,0,0,-2.0317618438008003,0.033044234721370226,8.101576465773961,1.3760598085100055,4.05507099741773e-4,-3.4388929714798943e-4,6.864143485792364e-4,6.864143485792364e-4
MGG_04886T0,0,0,-2.150444591009732,0.03922913196491795,7.628535530504793,1.5415679308931467,7.028722470245416e-4,-5.569454088143151e-4,8.360525476964059e-4,8.360525476964059e-4
MGG_00659T0,0,0,-1.9613813261681736,0.02240631591222742,10.119407576322514,1.2823759304248412,5.254487685823729e-5,2.9974397934564797e-6,4.4949811590029847e-4,4.4949811590029847e-4
MGG_02647T0,0,0,-2.8261852603344657,0.0256546494915681,10.38675264764109,2.662879815937619,4.635726427417646e-5,6.11803776261039e-4,4.4994714586225903e-4,6.11803776261039e-4
MGG_14597T0,0,0,-1.0095277257889907,0.02208359003356678,10.348157797395269,0.33979909717836954,3.8207328531178684e-5,8.732387067791914e-5,4.494776202394715e-4,4.494776202394715e-4
MGG_01255T0,0,0,-2.21037619808948,0.037505753200959245,7.782876913616022,1.629013418537427,6.301277344651171e-4,8.531531423188648e-6,7.765537887061477e-4,7.765537887061477e-4
MGG_00077T0,0,0,-2.479319059363936,0.03247521519903482,8.32734995890708,2.049331960927481,4.235537888155093e-4,6.288853976918913e-5,6.310858134081127e-4,6.310858134081127e-4
MGG_06158T0,0,0,-1.442257459347617,0.036297146105016886,8.329459008335423,0.6942471815581936,2.922839903495274e-4,0.001025198825019415,6.306367415621812e-4,0.001025198825019415
MGG_03299T0,0,0,-2.642684664529698,0.046124482437308656,7.399315301546901,2.3281038504381417,0.001182575516303031,-9.179179293139035e-4,9.448923638065636e-4,9.448923638065636e-4
MGG_11913T0,0,0,-2.3820995838450885,0.04410769258969654,7.469809013843136,1.8920219151809323,0.0010357823637416471,-2.021232698150322e-4,9.097061818455239e-4,9.097061818455239e-4
MGG_05023T0,0,0,1.5466904575714553,0.040914075832928665,7.56340254621621,0.79769179855171235,8.082088015399401e-4,-3.9619674527089255e-4,8.657527997226975e-4,8.657527997226975e-4
MGG_12165T0,0,0,-3.774349606770503,0.03211606201113519,8.687468060614464,4.748664749470491,4.6477163439300216e-4,-3.2512449298042985e-4,5.666698047100786e-4,5.666698047100786e-4
MGG_11310T0,0,0,-2.106838673940195,0.05140973552983342,7.057904098052804,1.4813517066081914,0.0011813964357097937,0.0014615644715376226,0.0011769053206164494,0.0014615644715376226
MGG_07613T0,0,0,-1.9339512094065752,0.026995176476158036,8.861844541210077,1.2468225568760771,1.8833591104444134e-4,-3.814077950704638e-5,5.404036419344748e-4,5.404036419344748e-4
MGG_17513T0,0,0,1.0003472530969295,0.022935095512157957,9.744862293287465,0.3338584709398811,6.609584361862191e-5,3.742971769174726e-4,4.599227625331862e-4,4.599227625331862e-4
MGG_13936T0,0,0,-1.693155888784161,0.03323218195907242,9.708930357878895,0.9563285398533355,7.063870327754594e-5,0.0010337392144833522,4.6161438589401206e-4,0.0010337392144833522
MGG_06605T0,0,0,-0.9424496316439239,0.022028428470292325,10.192876957270506,0.2963662846735531,3.6281865137821015e-5,4.0749105230884113e-4,4.489697957329644e-4,4.489697957329644e-4
MGG_06912T0,0,0,-1.5282745628754317,0.037355505641008785,7.556796986427497,0.7785976921673304,5.266425365216332e-4,-4.4167405157201833e-4,8.687912651738062e-4,8.687912651738062e-4
MGG_09159T0,0,0,-2.8154983095068076,0.02626764738021291,9.428328944721013,2.6428035698111563,1.721524126607312e-4,5.178368862304751e-4,4.7917502729142854e-4,5.178368862304751e-4
MGG_06238T0,0,0,2.325524595523447,0.04527597543858575,7.409803268028508,1.8040548240961085,0.0010080834894314254,0.0010418304624839943,9.394993086918527e-4,0.0010418304624839943
MGG_12315T0,0,0,-2.1839161201294792,0.039628615894738796,7.511569012286095,1.5906761446106132,6.806132237945679e-4,5.887938114264166e-4,8.898139739381765e-4,8.898139739381765e-4
