target_id,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,direction,condition,control
MGG_05014T0,2400,800.4,4.571,0.4091,0.02392,up_in_Guy11,Guy11M,Guy11
MGG_09194T0,7423,802.8,4.494,0.4091,0.02404,up_in_Guy11,Guy11M,Guy11
MGG_06981T0,4092,807,4.716,0.4091,0.02426,up_in_Guy11,Guy11M,Guy11
MGG_00537T1,6388,810.6,4.864,0.4091,0.02444,up_in_Guy11,Guy11M,Guy11
MGG_08190T0,3246,806,4.986,0.4092,0.0242,up_in_Guy11,Guy11M,Guy11
MGG_06954T0,8801,806.5,4.425,0.4092,0.02423,up_in_Guy11,Guy11M,Guy11
MGG_17436T0,8510,800,4.664,0.4093,0.0239,up_in_Guy11,Guy11M,Guy11
EFMOT00000000104,12837,661.3,0.6563,0.4094,0.01726,up_in_Guy11M,Guy11M,Guy11
MGG_01347T0,2496,803.7,4.638,0.4094,0.02409,up_in_Guy11,Guy11M,Guy11
MGG_06237T0,10242,805.7,4.803,0.4095,0.02419,up_in_Guy11,Guy11M,Guy11
MGG_09520T0,547,810.5,4.809,0.4095,0.02443,up_in_Guy11,Guy11M,Guy11
MGG_02504T0,8102,812.9,5.084,0.4095,0.02456,up_in_Guy11,Guy11M,Guy11
MGG_16118T0,745,660.9,0.2893,0.4097,0.01724,up_in_Guy11M,Guy11M,Guy11
MGG_06913T0,12622,805.4,5.015,0.4098,0.02418,up_in_Guy11,Guy11M,Guy11
MGG_06040T0,12361,809.7,5.032,0.4098,0.02439,up_in_Guy11,Guy11M,Guy11
MGG_00221T0,12554,810.4,4.645,0.4099,0.02443,up_in_Guy11,Guy11M,Guy11
MGG_10696T0,1022,814,5.191,0.41,0.02462,up_in_Guy11,Guy11M,Guy11
MGG_14628T0,395,805.1,5.199,0.4101,0.02416,up_in_Guy11,Guy11M,Guy11
MGG_13963T0,7044,809.5,5.049,0.4102,0.02438,up_in_Guy11,Guy11M,Guy11
MGG_06898T0,10819,664.1,0.2893,0.4116,0.01738,up_in_Guy11M,Guy11M,Guy11
MGG_17966T0,2535,820.8,2.515,0.4117,0.02497,up_in_Guy11,Guy11M,Guy11
MGG_10000T0,2649,820.8,4.287,0.4121,0.02496,up_in_Guy11,Guy11M,Guy11
MGG_02091T0,7609,820.4,4.527,0.4124,0.02495,up_in_Guy11,Guy11M,Guy11
MGG_09026T0,5002,819.4,5.556,0.4125,0.02489,up_in_Guy11,Guy11M,Guy11
MGG_13781T0,4401,822.5,4.298,0.4126,0.02505,up_in_Guy11,Guy11M,Guy11
MGG_17080T0,10005,818.5,4.82,0.4127,0.02484,up_in_Guy11,Guy11M,Guy11
MGG_15628T0,3772,819,4.446,0.4127,0.02487,up_in_Guy11,Guy11M,Guy11
MGG_00349T0,12,820.2,4.716,0.4127,0.02493,up_in_Guy11,Guy11M,Guy11
MGG_09847T0,9509,825.1,4.813,0.4127,0.02519,up_in_Guy11,Guy11M,Guy11
EFMOT00000000001,12756,824.7,3.849,0.4129,0.02517,up_in_Guy11,Guy11M,Guy11
MGG_03983T0,6972,823.7,4.876,0.4131,0.02512,up_in_Guy11,Guy11M,Guy11
MGG_03095T0,7614,818.4,5.09,0.4132,0.02484,up_in_Guy11,Guy11M,Guy11
MGG_08271T1,5670,824.4,4.24,0.4132,0.02515,up_in_Guy11,Guy11M,Guy11
MGG_13645T0,8950,826.3,4.911,0.4133,0.02525,up_in_Guy11,Guy11M,Guy11
MGG_16760T0,10320,666.5,0.2889,0.4135,0.01749,up_in_Guy11M,Guy11M,Guy11
MGG_01123T0,3337,827.3,4.66,0.4136,0.0253,up_in_Guy11,Guy11M,Guy11
MGG_07287T0,6652,667.6,0.3275,0.4139,0.01754,up_in_Guy11M,Guy11M,Guy11
MGG_16633T0,2755,830,4.684,0.4139,0.02544,up_in_Guy11,Guy11M,Guy11
EFMOT00000000066,12802,830.6,6.576,0.4139,0.02547,up_in_Guy11,Guy11M,Guy11
MGG_04204T0,11180,669.1,0.3191,0.414,0.01761,up_in_Guy11M,Guy11M,Guy11
MGG_07148T0,3272,829.6,4.647,0.4141,0.02542,up_in_Guy11,Guy11M,Guy11
MGG_09372T0,10920,668.6,0.3064,0.4142,0.01759,up_in_Guy11M,Guy11M,Guy11
MGG_03721T0,372,833.9,4.615,0.4142,0.02565,up_in_Guy11,Guy11M,Guy11
MGG_01439T0,11188,832.9,4.509,0.4143,0.02559,up_in_Guy11,Guy11M,Guy11
MGG_05578T0,10897,831.8,4.318,0.4144,0.02554,up_in_Guy11,Guy11M,Guy11
MGG_00450T0,12725,832.5,4.706,0.4144,0.02557,up_in_Guy11,Guy11M,Guy11
MGG_12181T0,5421,829.6,4.599,0.4145,0.02542,up_in_Guy11,Guy11M,Guy11
MGG_04017T0,9785,833.8,4.8,0.4146,0.02564,up_in_Guy11,Guy11M,Guy11
MGG_10852T0,10840,829.5,4.649,0.415,0.02542,up_in_Guy11,Guy11M,Guy11
MGG_04282T0,10340,672.9,0.3352,0.4151,0.01778,up_in_Guy11M,Guy11M,Guy11
MGG_15679T0,9666,672.3,0.364,0.4153,0.01776,up_in_Guy11M,Guy11M,Guy11
MGG_05985T0,9567,836.4,4.451,0.4153,0.02578,up_in_Guy11,Guy11M,Guy11
MGG_03508T0,6471,673.9,0.3071,0.4155,0.01783,up_in_Guy11M,Guy11M,Guy11
MGG_17538T0,6140,838.1,4.753,0.4156,0.02586,up_in_Guy11,Guy11M,Guy11
MGG_09473T0,10512,671.3,0.2555,0.4157,0.01771,up_in_Guy11M,Guy11M,Guy11
MGG_08834T0,3231,836.4,4.812,0.4157,0.02577,up_in_Guy11,Guy11M,Guy11
MGG_09394T0,5841,838.8,4.798,0.4158,0.0259,up_in_Guy11,Guy11M,Guy11
MGG_01344T0,9604,839.6,4.886,0.4159,0.02594,up_in_Guy11,Guy11M,Guy11
MGG_05860T0,1582,672.3,0.2946,0.416,0.01775,up_in_Guy11M,Guy11M,Guy11
MGG_05718T0,123,838,4.748,0.4161,0.02586,up_in_Guy11,Guy11M,Guy11
MGG_15700T0,6761,840.7,5.147,0.4163,0.026,up_in_Guy11,Guy11M,Guy11
MGG_13656T0,2212,677.8,0.3299,0.4188,0.018,up_in_Guy11M,Guy11M,Guy11
