target_id,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,direction,condition,control
MGG_08194T0,7257,1,8.609e-4,7.515e-5,5.647e-9,up_in_Guy11M,Guy11M,Guy11
MGG_02165T0,8371,1,1559,7.515e-5,5.647e-9,up_in_Guy11,Guy11M,Guy11
MGG_07986T0,4846,4.472,0.03935,0.001311,3.94e-7,up_in_Guy11M,Guy11M,Guy11
EFMOT00000000036,12781,3.464,211.2,0.001349,2.027e-7,up_in_Guy11,Guy11M,Guy11
MGG_16623T0,8622,4.472,0.03452,0.001748,3.94e-7,up_in_Guy11M,Guy11M,Guy11
MGG_02234T0,6676,4,0.0331,0.001966,2.955e-7,up_in_Guy11M,Guy11M,Guy11
MGG_15503T0,13087,7.348,107.7,0.003629,1.364e-6,up_in_Guy11,Guy11M,Guy11
MGG_18130T0,13268,7.211,107.7,0.004332,1.302e-6,up_in_Guy11,Guy11M,Guy11
MGG_07901T0,1616,8,0.04778,0.004464,1.677e-6,up_in_Guy11M,Guy11M,Guy11
MGG_17434T0,9861,8.944,0.07,0.004873,2.197e-6,up_in_Guy11M,Guy11M,Guy11
MGG_16692T0,9137,7.141,136.1,0.00564,1.271e-6,up_in_Guy11,Guy11M,Guy11
MGG_02336T0,2467,10.82,65.62,0.006586,3.464e-6,up_in_Guy11,Guy11M,Guy11
EFMOT00000000151,12875,10.39,66.04,0.006984,3.149e-6,up_in_Guy11,Guy11M,Guy11
MGG_17823T0,343,12.49,54.09,0.008105,4.872e-6,up_in_Guy11,Guy11M,Guy11
EFMOT00000000337,13028,12,0.06379,0.008426,4.433e-6,up_in_Guy11M,Guy11M,Guy11
EFMOT00000000123,12852,13.42,0.06717,0.008528,5.768e-6,up_in_Guy11M,Guy11M,Guy11
MGG_17848T0,10551,13.08,0.06294,0.009032,5.43e-6,up_in_Guy11M,Guy11M,Guy11
EFMOT00000000030,12778,14.07,72.85,0.009538,6.451e-6,up_in_Guy11,Guy11M,Guy11
MGG_17677T0,4849,14.97,56.57,0.00992,7.454e-6,up_in_Guy11,Guy11M,Guy11
EFMOT00000000319,13013,16.91,0.1699,0.01319,9.913e-6,up_in_Guy11M,Guy11M,Guy11
MGG_08567T0,4503,19.44,0.08403,0.01519,1.37e-5,up_in_Guy11M,Guy11M,Guy11
MGG_16784T0,1673,18.76,0.08215,0.01526,1.261e-5,up_in_Guy11M,Guy11M,Guy11
EFMOT00000000194,12913,18.81,59.77,0.01536,1.27e-5,up_in_Guy11,Guy11M,Guy11
MGG_03212T0,11873,23.24,38.54,0.01617,2.066e-5,up_in_Guy11,Guy11M,Guy11
