target_id,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,direction,condition,control
MGG_08194T0,7257,1,157243,7.515e-5,5.647e-9,up_in_pmk1,mst7,pmk1
MGG_01552T0,1888,3.464,501.6,0.001349,2.027e-7,up_in_pmk1,mst7,pmk1
MGG_15150T0,551,6.245,266.5,0.004052,9.135e-7,up_in_pmk1,mst7,pmk1
MGG_02165T0,8371,6.245,0.001686,0.006078,9.135e-7,up_in_mst7,mst7,pmk1
EFMOT00000000114,12847,5.292,0.00197,0.008037,6.04e-7,up_in_mst7,mst7,pmk1
MGG_03312T0,7547,10.68,244.9,0.01117,3.359e-6,up_in_pmk1,mst7,pmk1
MGG_16414T0,2543,12.12,497.2,0.01209,4.542e-6,up_in_pmk1,mst7,pmk1
MGG_18130T0,13268,13.49,0.008569,0.01296,5.843e-6,up_in_mst7,mst7,pmk1
MGG_07733T0,6561,12.96,0.004508,0.01415,5.318e-6,up_in_mst7,mst7,pmk1
MGG_03446T0,5467,12.65,0.0203,0.0167,5.02e-6,up_in_mst7,mst7,pmk1
MGG_16608T0,340,16.09,308,0.01679,8.832e-6,up_in_pmk1,mst7,pmk1
MGG_17005T0,9228,15.3,303.9,0.0174,7.845e-6,up_in_pmk1,mst7,pmk1
MGG_17007T0,1310,17.29,0.007058,0.01984,1.044e-5,up_in_mst7,mst7,pmk1
MGG_16422T0,10272,18.97,281.6,0.02153,1.295e-5,up_in_pmk1,mst7,pmk1
MGG_15503T0,13087,12.49,0.008569,0.02161,4.872e-6,up_in_mst7,mst7,pmk1
MGG_15635T0,3892,20.98,267.5,0.02172,1.632e-5,up_in_pmk1,mst7,pmk1
MGG_01790T0,3474,24.49,0.02945,0.02216,2.331e-5,up_in_mst7,mst7,pmk1
MGG_04379T0,532,20.32,306.8,0.02243,1.517e-5,up_in_pmk1,mst7,pmk1
MGG_13275T0,12609,23.07,0.0125,0.02252,2.031e-5,up_in_mst7,mst7,pmk1
MGG_17308T1,1895,23.92,0.0135,0.02259,2.207e-5,up_in_mst7,mst7,pmk1
MGG_16911T0,5644,22.27,0.006351,0.02267,1.874e-5,up_in_mst7,mst7,pmk1
MGG_16313T0,13195,21.42,0.007115,0.0228,1.714e-5,up_in_mst7,mst7,pmk1
EFMOT00000000329,13022,21.33,0.01024,0.02508,1.697e-5,up_in_mst7,mst7,pmk1
MGG_16564T0,13180,20.4,0.007115,0.02545,1.53e-5,up_in_mst7,mst7,pmk1
MGG_17520T0,6677,23.62,235,0.02595,2.145e-5,up_in_pmk1,mst7,pmk1
EFMOT00000000128,12856,28.14,0.01028,0.02663,3.201e-5,up_in_mst7,mst7,pmk1
MGG_17839T0,2769,24.92,197.7,0.02689,2.425e-5,up_in_pmk1,mst7,pmk1
MGG_17806T0,5390,27.95,0.01052,0.02795,3.151e-5,up_in_mst7,mst7,pmk1
MGG_16337T0,1745,29.39,185.1,0.0294,3.535e-5,up_in_pmk1,mst7,pmk1
MGG_06225T0,1336,27.11,280.6,0.03009,2.94e-5,up_in_pmk1,mst7,pmk1
MGG_17051T0,6930,28.98,234.6,0.03037,3.423e-5,up_in_pmk1,mst7,pmk1
MGG_08560T1,2161,28.84,212.2,0.03219,3.386e-5,up_in_pmk1,mst7,pmk1
MGG_10570T0,8475,33.99,0.0363,0.03634,4.915e-5,up_in_mst7,mst7,pmk1
MGG_16692T0,9137,33.32,0.01155,0.03678,4.699e-5,up_in_mst7,mst7,pmk1
MGG_15628T1,3771,37.23,0.01347,0.0402,6.041e-5,up_in_mst7,mst7,pmk1
MGG_18048T0,9280,34.71,208.8,0.04037,5.157e-5,up_in_pmk1,mst7,pmk1
MGG_15726T0,5470,35.71,69.2,0.04064,5.497e-5,up_in_pmk1,mst7,pmk1
MGG_14938T0,3235,36.88,0.05551,0.04142,5.913e-5,up_in_mst7,mst7,pmk1
MGG_14802T0,4144,40.42,152.4,0.0484,7.274e-5,up_in_pmk1,mst7,pmk1
MGG_17681T0,7831,39.89,167.5,0.04944,7.059e-5,up_in_pmk1,mst7,pmk1
MGG_17631T0,5544,41.95,153.3,0.05012,7.909e-5,up_in_pmk1,mst7,pmk1
MGG_04071T0,7099,48.37,117.1,0.05369,1.089e-4,up_in_pmk1,mst7,pmk1
MGG_00625T0,5690,50,189.9,0.05383,1.173e-4,up_in_pmk1,mst7,pmk1
EFMOT00000000054,12794,46.9,78.29,0.0541,1.016e-4,up_in_pmk1,mst7,pmk1
MGG_17720T0,66,44.41,166.9,0.05437,8.989e-5,up_in_pmk1,mst7,pmk1
MGG_16556T0,3220,45.33,179.3,0.05447,9.415e-5,up_in_pmk1,mst7,pmk1
MGG_11169T0,9304,46.28,162.3,0.05469,9.864e-5,up_in_pmk1,mst7,pmk1
MGG_18021T1,3512,49.64,136.5,0.05485,1.154e-4,up_in_pmk1,mst7,pmk1
MGG_17991T0,7406,48.17,133.3,0.05522,1.079e-4,up_in_pmk1,mst7,pmk1
MGG_16296T0,3670,51.81,128.5,0.05634,1.27e-4,up_in_pmk1,mst7,pmk1
MGG_11147T0,9091,52.65,166.5,0.05653,1.317e-4,up_in_pmk1,mst7,pmk1
MGG_16573T0,739,45.17,0.01844,0.05917,9.338e-5,up_in_mst7,mst7,pmk1
MGG_12936T0,12620,47.24,0.006624,0.05977,1.033e-4,up_in_mst7,mst7,pmk1
MGG_06062T0,5694,46.53,0.009033,0.06038,9.983e-5,up_in_mst7,mst7,pmk1
MGG_16538T0,6302,48.91,0.009275,0.0619,1.116e-4,up_in_mst7,mst7,pmk1
MGG_12090T0,8374,49.96,0.02258,0.062330000000000003,1.171e-4,up_in_mst7,mst7,pmk1
MGG_16218T0,10509,52.1,0.03202,0.06339,1.286e-4,up_in_mst7,mst7,pmk1
MGG_13716T0,11797,51.96,0.01621,0.06545,1.279e-4,up_in_mst7,mst7,pmk1
MGG_17047T0,421,60.71,134,0.07301,1.811e-4,up_in_pmk1,mst7,pmk1
MGG_17638T0,10262,61.85,114.5,0.07385,1.887e-4,up_in_pmk1,mst7,pmk1
MGG_16553T0,3938,60.63,98.84,0.07506,1.805e-4,up_in_pmk1,mst7,pmk1
MGG_16368T0,8195,58.31,0.02328,0.07863,1.655e-4,up_in_mst7,mst7,pmk1
MGG_13798T0,6777,66.75,35.53,0.08042,2.236e-4,up_in_pmk1,mst7,pmk1
MGG_02402T0,11037,65.33,129.3,0.08105,2.132e-4,up_in_pmk1,mst7,pmk1
MGG_17973T0,7510,66.32,94.41,0.0815,2.205e-4,up_in_pmk1,mst7,pmk1
MGG_17164T0,8461,69.97,117.1,0.08697,2.484e-4,up_in_pmk1,mst7,pmk1
MGG_17572T0,3809,72.66,93.94,0.08985,2.701e-4,up_in_pmk1,mst7,pmk1
MGG_15645T2,3681,71.89,107.8,0.08999,2.637e-4,up_in_pmk1,mst7,pmk1
MGG_15743T0,9282,67.73,0.01756,0.09043,2.31e-4,up_in_mst7,mst7,pmk1
MGG_17931T0,3447,66.93,0.06327,0.09073,2.25e-4,up_in_mst7,mst7,pmk1
MGG_09019T0,11066,64.34,0.02435,0.09141,2.061e-4,up_in_mst7,mst7,pmk1
MGG_14700T0,11362,69.2,0.03751,0.09211,2.423e-4,up_in_mst7,mst7,pmk1
MGG_16179T1,6242,66.47,0.03027,0.09213,2.215e-4,up_in_mst7,mst7,pmk1
MGG_05880T0,2595,63.7,0.005496,0.09248,2.015e-4,up_in_mst7,mst7,pmk1
MGG_16723T0,7711,66.23,0.03119,0.09433,2.198e-4,up_in_mst7,mst7,pmk1
MGG_03541T0,3178,78.35,115.6,0.1011,3.192e-4,up_in_pmk1,mst7,pmk1
MGG_16295T0,2001,81.24,85.26,0.1023,3.459e-4,up_in_pmk1,mst7,pmk1
