target_id,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,direction,condition,control
MGG_02165T0,8371,1.414,6.328e-4,2.136e-4,1.605e-8,up_in_mst7,mst7,pmk1
MGG_02109T0,11259,2,6.524e-4,2.97e-4,4.464e-8,up_in_mst7,mst7,pmk1
MGG_08194T0,7257,1.732,3610,3.908e-4,2.937e-8,up_in_pmk1,mst7,pmk1
MGG_17526T0,12196,3,7.535e-4,6.125e-4,1.381e-7,up_in_mst7,mst7,pmk1
MGG_15150T0,551,3.606,461.1,0.001499,2.253e-7,up_in_pmk1,mst7,pmk1
MGG_07733T0,6561,5.292,0.001558,0.002009,6.04e-7,up_in_mst7,mst7,pmk1
MGG_02246T0,5838,6,0.001455,0.002201,8.271e-7,up_in_mst7,mst7,pmk1
MGG_18130T0,13268,6.481,0.003863,0.002221,1.001e-6,up_in_mst7,mst7,pmk1
MGG_16034T0,12468,12.33,0.002846,0.008983,4.725e-6,up_in_mst7,mst7,pmk1
MGG_09417T0,5492,18.97,0.005048,0.01436,1.295e-5,up_in_mst7,mst7,pmk1
MGG_10061T0,10147,18.71,0.003956,0.01516,1.253e-5,up_in_mst7,mst7,pmk1
MGG_16692T0,9137,16.43,0.003978,0.01542,9.27e-6,up_in_mst7,mst7,pmk1
MGG_07443T0,8927,18.71,0.004873,0.01667,1.253e-5,up_in_mst7,mst7,pmk1
MGG_04259T0,8746,12.65,121.6,0.0167,5.02e-6,up_in_pmk1,mst7,pmk1
MGG_16911T0,5644,17.94,0.004814,0.01682,1.138e-5,up_in_mst7,mst7,pmk1
MGG_09705T0,10943,21.91,0.01138,0.01715,1.804e-5,up_in_mst7,mst7,pmk1
MGG_09055T0,6487,14.14,84.08,0.01737,6.528e-6,up_in_pmk1,mst7,pmk1
MGG_15503T0,13087,21.79,0.003863,0.01825,1.783e-5,up_in_mst7,mst7,pmk1
MGG_09548T0,5120,23.98,0.01772,0.0197,2.22e-5,up_in_mst7,mst7,pmk1
MGG_03784T0,6105,16.16,93.7,0.01976,8.911e-6,up_in_pmk1,mst7,pmk1
MGG_14702T0,12621,24.9,0.006076,0.02013,2.42e-5,up_in_mst7,mst7,pmk1
MGG_16282T0,13300,12.49,108.5,0.02161,4.872e-6,up_in_pmk1,mst7,pmk1
MGG_00015T0,3790,26.53,0.006809,0.02191,2.799e-5,up_in_mst7,mst7,pmk1
MGG_14718T0,1200,29.98,0.007026,0.02461,3.698e-5,up_in_mst7,mst7,pmk1
MGG_01679T0,6582,28.95,0.005027,0.02524,3.414e-5,up_in_mst7,mst7,pmk1
MGG_03403T0,11064,29.73,0.007076,0.02541,3.628e-5,up_in_mst7,mst7,pmk1
MGG_14938T0,3235,22.98,23.22,0.02977,2.013e-5,up_in_pmk1,mst7,pmk1
MGG_00016T0,12489,33.94,0.007758,0.03105,4.901e-5,up_in_mst7,mst7,pmk1
MGG_08406T0,42,22.29,52.53,0.03124,1.878e-5,up_in_pmk1,mst7,pmk1
MGG_05792T0,3292,21.45,212,0.03266,1.718e-5,up_in_pmk1,mst7,pmk1
MGG_16710T0,3781,35.72,0.01283,0.03328,5.502e-5,up_in_mst7,mst7,pmk1
MGG_14719T0,4145,38.88,0.009348,0.03856,6.665e-5,up_in_mst7,mst7,pmk1
MGG_14371T0,10805,43.15,0.01135,0.04486,8.427e-5,up_in_mst7,mst7,pmk1
MGG_02886T0,294,42.49,0.008555,0.04512,8.137e-5,up_in_mst7,mst7,pmk1
MGG_00715T0,10490,44.99,0.01161,0.04562,9.256e-5,up_in_mst7,mst7,pmk1
MGG_10453T0,275,44.87,0.02148,0.04708,9.199e-5,up_in_mst7,mst7,pmk1
MGG_08846T0,3633,47.73,0.008679,0.05023,1.057e-4,up_in_mst7,mst7,pmk1
