target_id,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,direction
MGG_08194T0,7257,1,0.006961,7.515e-5,5.647e-9,up_in_Guy11
EFMOT00000000066,12802,1,338.8,7.515e-5,5.647e-9,up_in_Guy11M
MGG_02234T0,6676,3.464,0.03359,0.001349,2.027e-7,up_in_Guy11
MGG_02165T0,8371,3.742,139.3,0.001652,2.483e-7,up_in_Guy11M
MGG_16027T0,9890,6.325,95.79,0.004181,9.426e-7,up_in_Guy11M
EFMOT00000000351,13038,9.798,86.11,0.00728,2.735e-6,up_in_Guy11M
MGG_16692T0,9137,9.487,77.26,0.008422,2.532e-6,up_in_Guy11M
MGG_16956T0,1774,10.86,0.04792,0.009314,3.5e-6,up_in_Guy11
MGG_05792T0,3292,10.39,0.05086,0.01048,3.149e-6,up_in_Guy11
MGG_11991T0,12497,9.798,0.06426,0.01213,2.735e-6,up_in_Guy11
MGG_05600T0,6654,15.87,0.08343,0.01897,8.554e-6,up_in_Guy11
MGG_02065T0,2800,15.87,48.34,0.01897,8.554e-6,up_in_Guy11M
EFMOT00000000164,12887,17.32,46.31,0.01992,1.048e-5,up_in_Guy11M
MGG_17848T0,10551,17.97,0.08116,0.0217,1.142e-5,up_in_Guy11
MGG_02069T0,9382,19.6,41.43,0.0232,1.395e-5,up_in_Guy11M
MGG_15965T0,6256,21.02,37.43,0.02426,1.641e-5,up_in_Guy11M
MGG_08589T0,6651,23.37,31.71,0.02531,2.092e-5,up_in_Guy11M
EFMOT00000000318,13012,22.76,49.37,0.02621,1.969e-5,up_in_Guy11M
MGG_10913T0,1605,21.17,0.1495,0.02772,1.667e-5,up_in_Guy11
MGG_08664T0,4279,28.2,17.78,0.03056,3.215e-5,up_in_Guy11M
MGG_10499T0,10916,27.84,29.08,0.03197,3.123e-5,up_in_Guy11M
EFMOT00000000273,12975,27.11,30.61,0.0326,2.94e-5,up_in_Guy11M
MGG_17270T0,3714,30.2,29.3,0.03335,3.759e-5,up_in_Guy11M
MGG_17636T0,6286,32.17,21.91,0.0361,4.34e-5,up_in_Guy11M
EFMOT00000000309,13004,34.87,25.55,0.03852,5.21e-5,up_in_Guy11M
EFMOT00000000005,12759,36.95,13.34,0.03951,5.938e-5,up_in_Guy11M
MGG_06981T2,4093,34.77,25.46,0.04052,5.176e-5,up_in_Guy11M
MGG_15982T0,2187,36.52,23.65,0.04052,5.786e-5,up_in_Guy11M
MGG_10879T0,2430,40.25,21.72,0.04358,7.204e-5,up_in_Guy11M
EFMOT00000000379,13062,41.28,22.21,0.04412,7.626e-5,up_in_Guy11M
MGG_15990T0,4243,43.15,23.9,0.04486,8.427e-5,up_in_Guy11M
MGG_07257T0,4304,40,25.15,0.04502,7.104e-5,up_in_Guy11M
MGG_16538T0,6302,43.05,22,0.04647,8.381e-5,up_in_Guy11M
MGG_08188T0,10324,28.98,0.09629,0.05062,3.423e-5,up_in_Guy11
EFMOT00000000285,12985,49.57,19.21,0.0567,1.151e-4,up_in_Guy11M
MGG_16025T0,9837,48.74,18.97,0.056710000000000003,1.108e-4,up_in_Guy11M
MGG_00531T0,2864,56.91,15.62,0.06134,1.567e-4,up_in_Guy11M
MGG_10869T0,9343,56.21,18.92,0.06148,1.525e-4,up_in_Guy11M
MGG_04203T0,5312,53.19,17.37,0.06182,1.347e-4,up_in_Guy11M
MGG_14290T0,11734,54,21.35,0.06182,1.394e-4,up_in_Guy11M
MGG_00067T0,8482,52.68,17.28,0.06266,1.319e-4,up_in_Guy11M
MGG_16017T0,1932,55.96,20.49,0.06278,1.51e-4,up_in_Guy11M
MGG_02591T0,1223,55.75,17.45,0.06425,1.497e-4,up_in_Guy11M
MGG_13799T0,10304,33.87,0.1174,0.06489,4.877e-5,up_in_Guy11
MGG_17084T0,47,60.03,17.51,0.06527,1.766e-4,up_in_Guy11M
MGG_07337T0,6043,59.5,14.07,0.0658,1.731e-4,up_in_Guy11M
MGG_15918T0,3200,62.35,16.7,0.06911,1.922e-4,up_in_Guy11M
MGG_17011T0,11982,36.62,0.1171,0.07041,5.82e-5,up_in_Guy11
MGG_15503T0,13087,69.61,20.28,0.07424,2.455e-4,up_in_Guy11M
MGG_16024T0,10190,65.5,26.81,0.07508,2.144e-4,up_in_Guy11M
MGG_16012T0,12338,69.56,14.14,0.07585,2.451e-4,up_in_Guy11M
MGG_15494T0,7546,68.12,13.91,0.07593,2.34e-4,up_in_Guy11M
MGG_13697T0,2908,69.13,11.75,0.0766,2.418e-4,up_in_Guy11M
MGG_16011T0,3440,67.97,14.5,0.07746,2.328e-4,up_in_Guy11M
MGG_18130T0,13268,71.75,20.28,0.07765,2.626e-4,up_in_Guy11M
MGG_17720T0,66,67.46,15.88,0.07813,2.29e-4,up_in_Guy11M
MGG_05401T0,7745,73.53,14,0.0802,2.773e-4,up_in_Guy11M
MGG_17322T0,1832,77.03,13.55,0.08705,3.075e-4,up_in_Guy11M
MGG_16103T0,13145,45.23,0.1192,0.08905,9.369e-5,up_in_Guy11
MGG_12582T0,8930,43.82,0.1008,0.08929,8.723e-5,up_in_Guy11
MGG_06383T0,10260,79.97,14.58,0.09263,3.341e-4,up_in_Guy11M
MGG_15795T0,10344,85.38,11.32,0.09344,3.862e-4,up_in_Guy11M
MGG_15622T0,3789,84.84,12.87,0.09384,3.808e-4,up_in_Guy11M
MGG_02000T0,3023,82.16,11.5,0.09439,3.547e-4,up_in_Guy11M
EFMOT00000000272,12974,81.42,12.41,0.09442,3.477e-4,up_in_Guy11M
MGG_10878T0,559,84.75,12.69,0.09538,3.799e-4,up_in_Guy11M
MGG_02001T0,12708,86.95,14.7,0.09554,4.021e-4,up_in_Guy11M
MGG_10252T0,11008,84.14,10.64,0.09568,3.739e-4,up_in_Guy11M
MGG_14956T0,12700,83.46,11.49,0.09581,3.672e-4,up_in_Guy11M
MGG_16796T0,11941,43.75,0.1138,0.09639,8.692e-5,up_in_Guy11
EFMOT00000000001,12756,89.55,10.11,0.09846,4.291e-4,up_in_Guy11M
MGG_14609T0,6627,89.39,11.79,0.09979,4.274e-4,up_in_Guy11M
MGG_15744T0,2499,49.57,0.124,0.1021,1.151e-4,up_in_Guy11
MGG_15991T0,1085,93.67,12.46,0.1069,4.741e-4,up_in_Guy11M
MGG_06865T0,10693,52.64,0.1234,0.1095,1.316e-4,up_in_Guy11
MGG_17026T0,3052,100,11.3,0.1158,5.483e-4,up_in_Guy11M
MGG_01382T0,3537,97.99,10.91,0.1161,5.237e-4,up_in_Guy11M
MGG_02050T0,976,99.44,11.42,0.1161,5.409e-4,up_in_Guy11M
MGG_03312T0,7547,98.98,10.27,0.1168,5.355e-4,up_in_Guy11M
MGG_18005T0,7082,59.14,0.139,0.1263,1.708e-4,up_in_Guy11
MGG_04354T0,1606,57.72,0.1267,0.1266,1.618e-4,up_in_Guy11
MGG_13464T0,3947,79.77,0.1463,0.134,3.323e-4,up_in_Guy11
MGG_17687T0,8554,67.16,0.1462,0.1371,2.267e-4,up_in_Guy11
MGG_16812T0,7630,79.75,0.151,0.1381,3.32e-4,up_in_Guy11
MGG_15193T0,6966,109.2,10.16,0.1384,6.655e-4,up_in_Guy11M
MGG_10088T0,9798,84.52,0.1611,0.1396,3.777e-4,up_in_Guy11
MGG_13902T0,7759,66.45,0.1577,0.1403,2.214e-4,up_in_Guy11
MGG_12316T0,8332,83.64,0.1789,0.1403,3.69e-4,up_in_Guy11
MGG_18007T0,10520,63.72,0.1526,0.1412,2.016e-4,up_in_Guy11
MGG_17751T0,511,79.67,0.1764,0.1422,3.313e-4,up_in_Guy11
MGG_17525T0,1597,83.12,0.1179,0.1424,3.639e-4,up_in_Guy11
MGG_17922T0,10271,65.82,0.1429,0.1442,2.167e-4,up_in_Guy11
MGG_14833T0,4968,86.95,0.1822,0.1446,4.021e-4,up_in_Guy11
MGG_02379T0,12018,79.32,0.2145,0.1455,3.281e-4,up_in_Guy11
MGG_07887T0,4778,88.5,0.1508,0.1464,4.181e-4,up_in_Guy11
MGG_03354T0,5562,73.53,0.1461,0.1476,2.773e-4,up_in_Guy11
MGG_05913T0,1278,71.06,0.1549,0.1487,2.57e-4,up_in_Guy11
MGG_12822T0,2360,78.94,0.1653,0.1489,3.246e-4,up_in_Guy11
MGG_17030T0,5829,76.68,0.2101,0.15,3.044e-4,up_in_Guy11
MGG_05956T0,4776,72.73,0.1512,0.1501,2.707e-4,up_in_Guy11
MGG_16899T0,7207,75.78,0.2783,0.1517,2.964e-4,up_in_Guy11
MGG_10357T0,11169,91.21,0.1806,0.1525,4.469e-4,up_in_Guy11
MGG_16819T0,13224,78.84,0.1572,0.1538,3.236e-4,up_in_Guy11
EFMOT00000000138,12865,115.9,14.74,0.155,7.571e-4,up_in_Guy11M
MGG_06225T0,1336,119.9,9.715,0.1627,8.07e-4,up_in_Guy11M
MGG_10816T0,2456,146.6,7.995,0.1631,0.001177,up_in_Guy11M
