target_id,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,direction,condition,control
MGG_02165T0,8371,1,0.001307,7.515e-5,5.647e-9,up_in_mst7,mst7,pmk1
MGG_08194T0,7257,1,901.9,7.515e-5,5.647e-9,up_in_pmk1,mst7,pmk1
MGG_17526T0,12196,2,0.002067,2.97e-4,4.464e-8,up_in_mst7,mst7,pmk1
MGG_15150T0,551,3.162,69.15,0.001058,1.591e-7,up_in_pmk1,mst7,pmk1
MGG_15503T0,13087,4.243,0.007068,0.001526,3.441e-7,up_in_mst7,mst7,pmk1
MGG_16282T0,13300,4.472,42.96,0.001748,3.94e-7,up_in_pmk1,mst7,pmk1
MGG_18130T0,13268,5.292,0.007068,0.002009,6.04e-7,up_in_mst7,mst7,pmk1
MGG_07733T0,6561,6.481,0.008219,0.002665,1.001e-6,up_in_mst7,mst7,pmk1
MGG_15807T0,6884,6.928,29.57,0.003141,1.18e-6,up_in_pmk1,mst7,pmk1
MGG_16371T0,2568,8.124,0.00841,0.00331,1.741e-6,up_in_mst7,mst7,pmk1
MGG_17527T0,12101,8,0.01275,0.0037200000000000002,1.677e-6,up_in_mst7,mst7,pmk1
MGG_17787T0,1291,6.928,31.75,0.003927,1.18e-6,up_in_pmk1,mst7,pmk1
MGG_10893T0,64,9.899,0.01444,0.004664,2.804e-6,up_in_mst7,mst7,pmk1
MGG_13836T0,11136,9.487,25.46,0.005615,2.532e-6,up_in_pmk1,mst7,pmk1
MGG_16977T0,1037,10.77,29.56,0.006519,3.429e-6,up_in_pmk1,mst7,pmk1
MGG_14718T0,1200,13.96,0.01873,0.009369,6.337e-6,up_in_mst7,mst7,pmk1
MGG_16676T0,13146,13.96,7.584,0.009369,6.337e-6,up_in_pmk1,mst7,pmk1
MGG_16000T0,2666,13.86,17.37,0.01035,6.222e-6,up_in_pmk1,mst7,pmk1
MGG_17819T0,13234,16.7,7.584,0.01282,9.631e-6,up_in_pmk1,mst7,pmk1
EFMOT00000000128,12856,17.66,0.02454,0.01459,1.097e-5,up_in_mst7,mst7,pmk1
MGG_16502T0,11170,19.8,12.72,0.01584,1.429e-5,up_in_pmk1,mst7,pmk1
MGG_15552T0,4557,19.18,15.28,0.01606,1.328e-5,up_in_pmk1,mst7,pmk1
MGG_14719T0,4145,19.49,0.02335,0.01667,1.378e-5,up_in_mst7,mst7,pmk1
EFMOT00000000306,13001,21.84,0.02576,0.01834,1.791e-5,up_in_mst7,mst7,pmk1
EFMOT00000000327,13020,21.73,0.02078,0.01962,1.77e-5,up_in_mst7,mst7,pmk1
MGG_16379T0,6711,25.04,6.359,0.02175,2.452e-5,up_in_pmk1,mst7,pmk1
MGG_15678T0,4748,24.92,14.26,0.02305,2.425e-5,up_in_pmk1,mst7,pmk1
MGG_02160T0,8737,24.19,8.415,0.02318,2.264e-5,up_in_pmk1,mst7,pmk1
MGG_03880T0,12150,26,0.03284,0.0237,2.672e-5,up_in_mst7,mst7,pmk1
MGG_16911T0,5644,25.79,0.02182,0.02493,2.622e-5,up_in_mst7,mst7,pmk1
MGG_17866T0,13106,29.29,10.66,0.02745,3.507e-5,up_in_pmk1,mst7,pmk1
MGG_12522T0,1513,28.91,10.38,0.02832,3.405e-5,up_in_pmk1,mst7,pmk1
MGG_10730T0,454,32.31,0.03444,0.0307,4.383e-5,up_in_mst7,mst7,pmk1
EFMOT00000000194,12913,32.25,0.03518,0.03226,4.364e-5,up_in_mst7,mst7,pmk1
MGG_15115T0,7298,31.75,0.03311,0.03297,4.212e-5,up_in_mst7,mst7,pmk1
MGG_16692T0,9137,30.98,0.02454,0.03314,3.985e-5,up_in_mst7,mst7,pmk1
MGG_09417T0,5492,34.21,0.03325,0.03319,4.988e-5,up_in_mst7,mst7,pmk1
MGG_08440T0,9127,37.42,0.04058,0.03696,6.11e-5,up_in_mst7,mst7,pmk1
MGG_15628T1,3771,37.42,0.04015,0.03872,6.11e-5,up_in_mst7,mst7,pmk1
MGG_17751T0,511,35.41,10.91,0.03988,5.395e-5,up_in_pmk1,mst7,pmk1
MGG_03767T0,9105,40.15,0.03751,0.04145,7.164e-5,up_in_mst7,mst7,pmk1
MGG_17055T0,9528,37.95,11.01,0.04197,6.308e-5,up_in_pmk1,mst7,pmk1
MGG_17523T0,10323,37.12,8.033,0.04204,6.002e-5,up_in_pmk1,mst7,pmk1
EFMOT00000000005,12759,43.24,0.03454,0.04507,8.468e-5,up_in_mst7,mst7,pmk1
EFMOT00000000273,12975,42.6,0.0405,0.0454,8.188e-5,up_in_mst7,mst7,pmk1
MGG_05489T0,11770,44.6,0.04253,0.04645,9.076e-5,up_in_mst7,mst7,pmk1
MGG_08406T0,42,40.69,10.45,0.0468,7.385e-5,up_in_pmk1,mst7,pmk1
MGG_02987T0,9825,42.21,4.61,0.04851,8.021e-5,up_in_pmk1,mst7,pmk1
MGG_16874T0,15,43.39,10.61,0.04937,8.534e-5,up_in_pmk1,mst7,pmk1
MGG_15499T0,11304,46.64,0.03993,0.04946,1.003e-4,up_in_mst7,mst7,pmk1
