sample1,sample2,name1,time1,rep1,name2,time2,rep2,pearson_cor,spearman_cor,comparison_type
MST7WT_4_3,mst7_0_1,MST7WT,4,3,mst7,0,1,0.7685410186270004,0.77241205367352606,"Different strains, different time"
MST7WT_24_3,mst7_0_1,MST7WT,24,3,mst7,0,1,0.7589902339417177,0.7705695144347724,"Different strains, different time"
MST7PM_0_3,mst7_0_1,MST7PM,0,3,mst7,0,1,0.7571196396630381,0.7622851814002207,"Different strain, same time"
MST7PM_2_3,mst7_0_1,MST7PM,2,3,mst7,0,1,0.8410863984588733,0.8355487307690311,"Different strains, different time"
MST7PM_4_3,mst7_0_1,MST7PM,4,3,mst7,0,1,0.75954503633151,0.7636778199187,"Different strains, different time"
MST7PM_24_3,mst7_0_1,MST7PM,24,3,mst7,0,1,0.6973020024635516,0.7095893077166037,"Different strains, different time"
MST7PD_0_3,mst7_0_1,MST7PD,0,3,mst7,0,1,0.766786310997583,0.7720953446470974,"Different strain, same time"
MST7PD_2_3,mst7_0_1,MST7PD,2,3,mst7,0,1,0.8523367755928527,0.8468690830233608,"Different strains, different time"
MST7PD_4_3,mst7_0_1,MST7PD,4,3,mst7,0,1,0.751663265328798,0.7601009306402772,"Different strains, different time"
MST7PD_24_3,mst7_0_1,MST7PD,24,3,mst7,0,1,0.6958375205697654,0.7085975129934926,"Different strains, different time"
Guy11_0_3,mst7_0_1,Guy11,0,3,mst7,0,1,0.7623171656223292,0.7655610125254619,"Different strain, same time"
Guy11_2_3,mst7_0_1,Guy11,2,3,mst7,0,1,0.8669565605787147,0.8624852487927733,"Different strains, different time"
Guy11_4_3,mst7_0_1,Guy11,4,3,mst7,0,1,0.7274569439345693,0.7362986736278843,"Different strains, different time"
Guy11_24_3,mst7_0_1,Guy11,24,3,mst7,0,1,0.6341063949311051,0.6577273892590081,"Different strains, different time"
pmk1_0_1,mst7_0_1,pmk1,0,1,mst7,0,1,0.8771948832733828,0.8751524033198501,"Different strain, same time"
pmk1_2_1,mst7_0_1,pmk1,2,1,mst7,0,1,0.8750216386570843,0.871630971483624,"Different strains, different time"
pmk1_4_1,mst7_0_1,pmk1,4,1,mst7,0,1,0.9003042138246927,0.8967752281847047,"Different strains, different time"
pmk1_24_1,mst7_0_1,pmk1,24,1,mst7,0,1,0.7499618398394983,0.747333896142205,"Different strains, different time"
pmk1_0_2,mst7_0_1,pmk1,0,2,mst7,0,1,0.8754389181219216,0.8731177714689455,"Different strain, same time"
pmk1_2_2,mst7_0_1,pmk1,2,2,mst7,0,1,0.8739055625750679,0.8706703603132625,"Different strains, different time"
pmk1_4_2,mst7_0_1,pmk1,4,2,mst7,0,1,0.8935573997928917,0.8909500419313441,"Different strains, different time"
pmk1_24_2,mst7_0_1,pmk1,24,2,mst7,0,1,0.7499618398394983,0.747333896142205,"Different strains, different time"
Guy11M_0_1,mst7_0_1,Guy11M,0,1,mst7,0,1,0.712297891935122,0.7124372525139032,"Different strain, same time"
Guy11M_2_1,mst7_0_1,Guy11M,2,1,mst7,0,1,0.7349304035406137,0.747806469228979,"Different strains, different time"
Guy11M_4_1,mst7_0_1,Guy11M,4,1,mst7,0,1,0.8627385971472513,0.8616238209476986,"Different strains, different time"
Guy11M_24_1,mst7_0_1,Guy11M,24,1,mst7,0,1,0.6411702772841805,0.6529804291428031,"Different strains, different time"
Guy11M_0_2,mst7_0_1,Guy11M,0,2,mst7,0,1,0.7064170147046311,0.7056089515699603,"Different strain, same time"
Guy11M_2_2,mst7_0_1,Guy11M,2,2,mst7,0,1,0.7810258020198219,0.7903771139674,"Different strains, different time"
Guy11M_4_2,mst7_0_1,Guy11M,4,2,mst7,0,1,0.8643113023952199,0.8632995896994355,"Different strains, different time"
Guy11M_24_2,mst7_0_1,Guy11M,24,2,mst7,0,1,0.6411702772841805,0.6529804291428031,"Different strains, different time"
mst7_0_1,mst7_2_1,mst7,0,1,mst7,2,1,0.8613317296078004,0.854457926631227,"Same strain, different time"
