"","mst7_0_1","mst7_2_1","mst7_4_1","mst7_24_1","MST7WT_0_1","MST7WT_2_1","MST7WT_4_1","MST7WT_24_1","MST7PM_0_1","MST7PM_2_1","MST7PM_4_1","MST7PM_24_1","MST7PD_0_1","MST7PD_2_1","MST7PD_4_1","MST7PD_24_1","Guy11_0_1","Guy11_2_1","Guy11_4_1","Guy11_24_1","mst7_0_2","mst7_2_2","mst7_4_2","mst7_24_2","MST7WT_0_2","MST7WT_2_2","MST7WT_4_2","MST7WT_24_2","MST7PM_0_2","MST7PM_2_2","MST7PM_4_2","MST7PM_24_2","MST7PD_0_2","MST7PD_2_2","MST7PD_4_2","Guy11_0_2","Guy11_2_2","Guy11_4_2","Guy11_24_2","mst7_0_3","mst7_2_3","mst7_4_3","mst7_24_3","MST7WT_0_3","MST7WT_2_3","MST7WT_4_3","MST7WT_24_3","MST7PM_0_3","MST7PM_2_3","MST7PM_4_3","MST7PM_24_3","MST7PD_0_3","MST7PD_2_3","MST7PD_4_3","MST7PD_24_3","Guy11_0_3","Guy11_2_3","Guy11_4_3","Guy11_24_3","pmk1_0_1","pmk1_2_1","pmk1_4_1","pmk1_24_1","pmk1_0_2","pmk1_2_2","pmk1_4_2","pmk1_24_2","Guy11M_0_1","Guy11M_2_1","Guy11M_4_1","Guy11M_24_1","Guy11M_0_2","Guy11M_2_2","Guy11M_4_2","Guy11M_24_2"
"MGG_07549T0",0.645749,0.270609,0.196287,0.168223,0.0132457,0.189956,0.042094,0.219697,0.12694,0.208653,0,0.676288,0.137873,0.174232,0.0197031,0.555204,0.114682,0.111917,0.0232153,0.742683,0.151696,0.189547,0.136924,0.231397,0.0517179,0.13191,0.033411,0,0.0175803,0.146537,0.0419891,0.81503,0.0633695,0.154939,0.0869856,0.0735141,0.186598,0.0964374,0.938272,0.077859,0.268491,0.336708,0.414047,0.187657,0.268087,0.128569,0.761299,0.0243884,0.149019,0.0521613,0.467167,0.132333,0.37274,0.0752857,0.864906,0.112109,0.227566,0.0586765,1.06196,1.43415,0.190536,0.620133,1.89856,0.678488,0.242084,0.933154,1.89856,0.222979,1.16934,0.381542,0.568196,0.254159,0.38559,0.294739,0.568196
"MGG_05582T0",9.22137,7.46502,2.86105,0.223829,0.461102,1.75384,4.7041,0.38347,0.956513,2.36876,3.54843,0.645724,1.00538,3.03261,4.70799,2.0726,2.1593,6.2402,5.38597,1.5762,0.741312,3.41628,6.6514,1.66993,0.48028,3.04841,6.71577,0,0.281413,3.10458,5.46976,2.6681,0,3.91857,2.68608,1.37383,6.4004,4.17088,2.09767,1.23551,4.01449,7.28987,4.25403,1.13454,4.49873,5.71796,1.50447,1.36731,2.47843,2.94102,2.43037,1.68292,3.60057,4.44442,2.02671,0.718397,4.17413,4.34204,2.31878,3.36896,3.84462,8.92883,0,2.6853,5.2859,9.1184,0,1.2129,8.04606,11.4682,1.75458,0.912908,13.232,12.6772,1.75458
"MGG_05263T0",36.3676,78.2431,45.4522,20.951,6.92285,53.2429,52.1676,26.5299,26.0356,60.2744,53.5492,29.5001,25.8292,55.6608,76.5343,25.9677,24.5234,48.7842,31.7791,44.8767,26.2876,66.0082,71.0912,31.6964,13.0766,68.3638,45.6411,3.88275,11.0988,48.679,50.2964,42.0011,11.6981,48.1909,48.4594,11.5799,45.8954,33.6025,47.2567,16.4205,80.4875,64.9613,53.904,19.8452,53.8178,47.5075,31.1527,18.9074,50.8709,46.2448,19.597,14.7714,49.8024,40.987,32.4385,13.0901,36.0562,39.3103,45.1169,40.3403,24.2426,46.0148,7.3144,38.9184,25.2257,41.2229,7.3144,12.996,28.9699,41.323,41.2414,15.2551,42.4236,43.3291,41.2414
"MGG_09710T0",1.09052,1.27045,1.24406,10.3579,5.02449,2.01378,2.21634,344.019,13.4157,1.93726,8.84986,88.1367,9.68155,2.27654,2.55562,144.921,13.461,5.87045,26.5897,881.337,9.16466,1.3565,0.698056,0.821144,7.75414,2.3111,9.562,14.8063,7.23087,1.2457,4.49741,287.089,8.0868,0.828622,2.06763,4.12362,8.73788,23.1797,866.822,1.66401,1.06493,1.21777,2.72879,5.54552,1.29406,1.64269,305.2,6.50884,1.33193,3.28511,225.564,5.13037,1.43277,2.86761,425.399,2.07765,1.64059,8.78228,1215.85,1.90904,1.39819,1.7532,3.13195,1.78427,1.71555,1.84406,3.13195,10.4998,80.4093,4.53335,786.083,8.41559,72.474,4.42447,786.083
"MGG_17713T0",21.6918,6.54774,1.98789,3.87919,2.00438,2.8324,2.92409,290.563,4.04598,4.18361,2.36778,5.3892,4.19818,2.62157,3.13908,11.3276,6.09372,3.85199,2.45259,9.4164,9.30958,3.67405,4.0656,69.8398,3.30515,3.78508,2.83704,1.22142,2.62451,2.95709,3.03798,9.95208,2.32923,4.88149,3.14587,7.48547,4.07299,2.82472,16.1734,3.0744,6.96836,9.54191,56.4086,5.34944,3.26658,2.73275,12.8103,4.10313,2.67483,2.37679,180.937,4.19949,3.9047,3.00898,9.42371,1.49109,3.2734,4.16827,11.2043,146.099,5.95492,5.67179,58.4907,143.212,6.68915,6.69511,58.4907,4.07609,7.99239,4.41674,24.3851,4.83716,5.77256,4.13284,24.3851
"MGG_13429T0",5.67814,8.34966,6.58619,2.59913,0.862965,6.60689,5.81124,3.67009,3.27163,9.63137,7.87614,6.69714,0.994978,6.06101,7.37097,5.90833,2.02832,6.42065,4.30371,9.72808,4.05808,7.28994,8.30404,4.14983,0.733494,7.04425,5.58259,0.702774,0.888801,8.0292,6.469,8.48376,0.728664,7.20903,6.00497,1.27817,8.0818,4.87388,9.01602,10.1651,8.77602,9.9593,10.4865,2.22682,7.74958,3.83214,8.10002,1.54606,5.90174,4.3933,4.11617,1.34206,6.52901,5.1411,7.4909,1.30935,9.44922,4.94329,9.82898,6.97473,8.03678,9.26728,18.4405,7.80665,8.94534,10.9352,18.4405,0.990915,0.948575,6.37382,6.46645,1.13026,3.08347,5.70074,6.46645
"MGG_16640T0",0.574868,0.793003,0,0.444441,0.367853,0.248689,0.331417,0,0.256593,0,0.530402,0.53861,0,0.601397,0.267295,1.63418,0,0.328327,0.727711,1.95015,0,0.629353,0.612792,2.02824,0,0.664012,0,0,0,0,1.32257,3.091,0,0.357478,0,0,0.757159,0.781423,1.57503,1.90338,0.563175,1.33462,3.71473,0,0,0,0.216296,0,1.20509,0.841493,0.202697,0.381876,0.232986,0.183774,0.436184,0.831766,1.15636,0,0.822703,1.80254,0,0.11252,0,0,0.531694,0,0,0,0,0.552579,0,0.849941,0,0.333782,0
"MGG_05084T0",1.35216,0.525748,1.4082,1.77767,0.878504,0.647707,0.180324,0.988141,2.75064,0.456063,0.168466,0.405563,3.15334,0.444463,0.334786,0.81735,2.4748,0.229242,0.31841,0.270756,1.73365,0.432154,0.301827,1.41674,1.83026,0.150422,0.171236,0,2.44177,0.538624,0.144046,0.552058,2.21197,0.722012,0.297995,2.01711,0.601088,0.289744,0.351356,0.399698,0.184184,0.28663,1.3642,3.32702,0.317557,0.184153,1.05484,2.48867,0.319958,0.507616,0.38805,1.79406,0.511838,0.257144,0.800772,1.62741,2.04224,0.13271,0.349313,1.60383,2.90569,1.35969,3.1578,1.94877,2.84149,0.841839,3.1578,2.98511,0,0.680697,1.64059,4.45499,0.720292,1.00728,1.64059
"MGG_09575T0",8.89319,5.43175,4.91049,3.49766,1.778,4.50904,3.57873,0.283648,3.73691,4.62042,2.23877,9.40932,3.47191,5.64066,3.42026,5.4549,5.10873,4.99938,1.73467,3.94224,2.67941,4.74424,3.94947,2.06557,4.68199,4.88399,2.6481,0,3.74572,4.29505,2.10362,7.50709,3.56352,5.56627,2.34919,3.27318,6.12907,2.95477,4.16686,1.4089,5.86363,5.81651,10.8748,3.31611,4.94233,2.62863,4.65572,3.85896,5.01256,2.43592,2.35057,3.51862,5.37044,2.64462,3.30878,5.90382,3.95581,3.26718,1.98751,26.7534,7.88624,12.1896,2.94357,23.9798,8.49726,13.5168,2.94357,2.91001,1.80142,4.98888,2.76378,1.97627,3.58197,4.93784,2.76378
"MGG_17621T0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
