gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
8371,3.608,2483,5.521e-21,4.149e-25
12196,18.92,3681000000000,1.486e-13,2.233e-17
9137,26.23,276,2.159e-12,4.868e-16
1200,67.11,388200000000,6.333e-9,1.904e-12
4145,79.44,299600000000,2.052e-8,7.71e-12
12101,83.71,247600000000,2.626e-8,1.184e-11
3771,90.6,150.1,4.283e-8,2.253e-11
13268,95.79,122,5.874e-8,3.531e-11
13087,96.27,122,5.437e-8,3.677e-11
12847,101.5,79.01,7.457e-8,5.604e-11
2090,108.2,5.569,1.133e-7,9.367e-11
2911,136.3,158.5,6.353e-7,5.729e-10
12913,167,48.37,2.771e-6,2.707e-9
4249,167.3,196.2,2.601e-6,2.737e-9
7711,193.8,28.88,7.294e-6,8.222e-9
12975,210.3,13.41,1.253e-5,1.506e-8
5492,212,277.7,1.249e-5,1.596e-8
11770,217.5,253781,1.423e-5,1.925e-8
6258,218.9,42.65,1.414e-5,2.019e-8
12856,222.2,59.3,1.497e-5,2.25e-8
8195,227.9,46.1,1.714e-5,2.705e-8
12885,228.3,64.94,1.659e-5,2.743e-8
9282,230.7,49.23,1.712e-5,2.959e-8
13001,239.4,18.67,2.147e-5,3.872e-8
11951,244,139.1,2.361e-5,4.435e-8
823,244.7,63.14,2.321e-5,4.534e-8
13071,256.6,6.626,3.137e-5,6.366e-8
12520,256.8,210.8,3.049e-5,6.416e-8
4041,265.1,45950000000,3.688e-5,8.037e-8
11605,302.1,152.4,8.986e-5,2.026e-7
5644,304.8,77.21,9.247e-5,2.154e-7
292,306.6,11260000000,9.335e-5,2.245e-7
1337,334.7,77.39,1.665e-4,4.13e-7
12144,337,47.65,1.697e-4,4.337e-7
253,342.6,35.91,1.845e-4,4.854e-7
11259,350.2,30.63,2.087e-4,5.645e-7
1526,354.7,22280000000,2.217e-4,6.165e-7
6561,357.6,329.3,2.282e-4,6.5180000000000005e-07
11578,359.2,9.487,2.293e-4,6.72e-7
13024,366.3,62170000000,2.554e-4,7.676e-7
4846,381.2,21460000000,3.269e-4,1.007e-6
8794,397.8,6.007,4.261e-4,1.345e-6
11839,414.6,90.28,5.491e-4,1.774e-6
6048,426.4,32780000000,6.472e-4,2.14e-6
10111,432.4,33.59,6.947e-4,2.349e-6
8519,436.3,3.348,7.219e-4,2.495e-6
5037,448.3,15480000000,8.456e-4,2.987e-6
7298,455.8,50.97,9.237e-4,3.332e-6
1285,456.8,9.129,9.18e-4,3.38e-6
2568,467.2,26.53,0.001044,3.921e-6
11078,475.3,2.789,0.001145,4.389e-6
7139,476.4,63.34,0.00114,4.455e-6
5390,485.1,29.32,0.00126,5.019e-6
9202,498.7,12110000000,0.001482,6.014e-6
3627,517,7.655,0.001838,7.597e-6
12869,531.7,7.697,0.002163,9.102e-6
10706,532.6,36.38,0.002149,9.204e-6
8030,542.8,18.57,0.002386,1.04e-5
12974,549.4,11.23,0.002534,1.124e-5
3801,550.5,17.02,0.002524,1.138e-5
11110,551.4,9981000000,0.00251,1.151e-5
11304,561.4,9.541,0.002769,1.29e-5
8375,567,19.02,0.002903,1.374e-5
10875,568.2,9.185,0.002898,1.394e-5
3862,570.2,56.96,0.002916,1.424e-5
3551,576.7,12.24,0.003089,1.532e-5
11115,579.5,4.402,0.003137,1.58e-5
4375,591.6,14.59,0.003525,1.801e-5
10854,594.9,6.793,0.003598,1.866e-5
12935,597.9,14.3,0.003659,1.925e-5
8751,597.9,17420000000,0.003608,1.925e-5
12844,599.3,9.805,0.003613,1.955e-5
1804,601.9,20.39,0.003662,2.009e-5
13159,607,6.519,0.003808,2.118e-5
2735,613.6,7.155,0.004023,2.268e-5
6730,617.6,31.36,0.004135,2.362e-5
7444,619.3,79.07,0.004154,2.403e-5
11797,631.7,9.202,0.004644,2.722e-5
3312,634.4,295.1,0.004708,2.795e-5
11850,635.3,8.255,0.00469,2.82e-5
10171,639.5,41.34,0.004829,2.939e-5
11775,643.3,28.24,0.004948,3.049e-5
12933,645.5,3.77,0.004996,3.116e-5
12848,670.2,8.49,0.006232,3.934e-5
9247,672.6,13.71,0.006295,4.021e-5
12981,678.6,5.084,0.006576,4.25e-5
12926,682.9,49110000000,0.006759,4.419e-5
4231,683.1,13.56,0.006693,4.426e-5
3890,685.8,3.59,0.006783,4.537e-5
1310,696.2,28.89,0.007356,4.975e-5
3518,698,104.7,0.00739,5.053e-5
12828,699.7,9.826,0.007424,5.133e-5
12804,707,7.362,0.007823,5.468e-5
370,713.3,35.85,0.008176,5.775e-5
1895,717.1,19.15,0.008354,5.964e-5
12759,718.9,14.39,0.008395,6.057e-5
9837,721.3,11.38,0.008479,6.181e-5
8471,722.7,93.44,0.008496,6.257e-5
10936,734.1,94.64,0.009251,6.883e-5
12489,734.5,67.73,0.009191,6.907e-5
1105,735.3,58.73,0.009159,6.952e-5
13020,736.2,10.88,0.009141,7.007e-5
668,745.2,11.97,0.009741,7.54e-5
4288,747.9,28.34,0.009866,7.711e-5
10012,750.6,8.017,0.009989,7.882e-5
7707,762.6,29.45,0.01089,8.672e-5
13009,762.9,6.929,0.01081,8.696e-5
11047,764.7,24.93,0.01087,8.818e-5
13065,764.9,34210000000,0.01078,8.83e-5
12812,766.3,4.414,0.01081,8.933e-5
1597,773.7,1.909,0.01135,9.464e-5
