gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
9594,1037,0.2867,0.05231,5.268e-4
3332,1039,0.1724,0.05241,5.318e-4
5624,1042,0.4827,0.05302,5.419e-4
7864,1054,0.5309,0.05611,5.777e-4
10191,1055,0.0642,0.05602,5.809e-4
4672,1057,0.223,0.05623,5.874e-4
5449,1058,0.2296,0.05594,5.885e-4
5827,1061,0.5402,0.05643,5.979e-4
2557,1061,0.3086,0.05619,5.996e-4
945,1061,0.4041,0.05584,6.001e-4
1245,1062,0.2135,0.05561,6.018e-4
11662,1064,0.4361,0.0558,6.08e-4
12303,1068,6.39e-12,0.05659,6.209e-4
196,1069,0.3949,0.05666,6.259e-4
4091,1072,0.3178,0.05719,6.36e-4
2994,1074,0.2278,0.05721,6.405e-4
11505,1074,0.05257,0.05704,6.43e-4
10042,1075,0.05472,0.05693,6.46e-4
42,1078,0.1182,0.0572,6.534e-4
9228,1079,0.8874,0.05725,6.582e-4
13106,1079,0.04811,0.05704,6.601e-4
12647,1085,0.3837,0.05834,6.795e-4
4893,1088,0.2948,0.05878,6.891e-4
954,1089,0.1587,0.05874,6.93e-4
4960,1096,0.2385,0.06051,7.185e-4
7881,1100,0.405,0.06154,7.353e-4
4963,1103,0.3536,0.06181,7.432e-4
11386,1103,0.3708,0.06165,7.458e-4
9587,1105,0.2698,0.06175,7.517e-4
3051,1105,0.2116,0.06141,7.523e-4
9119,1105,0.1872,0.06105,7.524e-4
2182,1105,0.5032,0.06079,7.538e-4
2549,1108,0.3334,0.0613,7.647e-4
5442,1109,0.216,0.06123,7.684e-4
10343,1110,0.4971,0.06111,7.715e-4
6080,1114,0.368,0.06196,7.869e-4
12845,1124,0.4329,0.06494,8.296e-4
6537,1126,0.4208,0.06506,8.361e-4
5335,1128,0.1747,0.06518,8.425e-4
2161,1129,0.6506,0.06534,8.495e-4
5151,1130,0.04524,0.06522,8.528e-4
6093,1130,0.1933,0.06491,8.536e-4
6777,1143,0.05193,0.06881,9.1e-4
3269,1150,0.4005,0.07073,9.408e-4
6860,1153,0.242,0.07117,9.52e-4
9533,1157,0.348,0.0724,9.739e-4
3283,1163,0.2088,0.07407,0.001002
7945,1168,0.3728,0.07525,0.001024
6413,1174,0.4335,0.07694,0.001052
9881,1176,0.8842,0.07738,0.001064
10293,1182,0.1846,0.07905,0.001093
10476,1182,0.1273,0.07866,0.001094
2798,1183,0.28,0.07874,0.001101
12607,1186,0.3873,0.07929,0.001114
3670,1188,0.3096,0.07976,0.001127
8886,1192,0.3989,0.08056,0.001144
2282,1193,0.2991,0.08057,0.00115
446,1193,0.2503,0.08018,0.001151
5156,1194,0.2979,0.07999,0.001154
8831,1197,0.2976,0.08088,0.001173
708,1201,0.486,0.08173,0.001192
3696,1202,0.3265,0.08195,0.001201
11665,1206,0.3542,0.08294,0.001222
3803,1207,0.5611,0.08281,0.001226
2881,1207,0.5363,0.08255,0.001228
5929,1207,0.3032,0.08216,0.001229
3610,1211,0.2429,0.08306,0.001248
4009,1216,0.2637,0.08464,0.001278
6125,1219,0.2399,0.08518,0.001293
7207,1221,0.1254,0.08559,0.001306
4557,1223,0.3403,0.08583,0.001316
4467,1226,0.2192,0.08663,0.001335
9756,1226,0.3223,0.08644,0.001338
4828,1233,0.1696,0.08865,0.001379
9653,1233,0.3156,0.08832,0.001381
11769,1234,0.1141,0.08815,0.001385
9458,1240,0.1772,0.09001,0.00142
10260,1242,0.4803,0.09037,0.001433
13173,1243,0.3233,0.09048,0.001441
6178,1245,0.2248,0.09076,0.001453
5034,1247,0.2481,0.09112,0.001465
8282,1248,0.04681,0.0909,0.001469
5263,1248,0.4473,0.09055,0.00147
9585,1249,0.2357,0.09057,0.001477
11227,1252,0.3684,0.09126,0.001495
5538,1252,0.1768,0.09109,0.001499
10518,1253,0.4151,0.09081,0.001501
12830,1255,0.3472,0.09134,0.001517
7494,1258,0.361,0.09214,0.001537
10324,1259,0.2008,0.09221,0.001545
10359,1260,0.31,0.0921,0.00155
6273,1261,0.1904,0.09204,0.001556
2280,1262,0.2701,0.0921,0.001564
13168,1263,0.04258,0.09187,0.001567
9447,1267,0.4063,0.09334,0.001599
7608,1269,0.148,0.09344,0.001608
12978,1271,0.3472,0.09388,0.001623
9845,1272,0.4103,0.09386,0.001629
2378,1276,0.5242,0.09528,0.001661
3953,1279,0.4515,0.0959,0.001679
12956,1280,0.3472,0.09595,0.001687
11680,1282,0.4765,0.0965,0.001704
10022,1283,0.4421,0.09635,0.001709
9118,1284,0.3709,0.09623,0.001714
7170,1287,0.2487,0.09713,0.001737
10138,1290,0.1757,0.09807,0.001761
12864,1293,0.3472,0.09863,0.001779
9359,1294,0.5079,0.09892,0.001792
4386,1295,0.1315,0.09874,0.001796
12340,1295,0.2962,0.09837,0.001796
706,1295,0.4296,0.09815,0.0018
5450,1297,0.1785,0.09849,0.001813
1958,1301,0.2712,0.09971,0.001843
11504,1301,0.3539,0.09937,0.001844
11037,1302,0.7021,0.09922,0.001849
2286,1302,0.2826,0.099,0.001852
9173,1304,0.4602,0.09936,0.001867
7565,1306,0.1429,0.09954,0.001878
8580,1306,0.3324,0.09929,0.00188
2545,1308,0.1829,0.09974,0.001896
7920,1316,0.2606,0.1028,0.001963
5988,1318,0.5626,0.103,0.001973
970,1321,0.3286,0.1039,0.001998
11720,1323,0.6688,0.1044,0.002015
3148,1324,0.2357,0.1043,0.002022
9195,1326,0.05925,0.1047,0.002037
7202,1330,0.7399,0.1063,0.002077
10202,1334,0.1578,0.1073,0.002105
3727,1334,0.374,0.107,0.002106
9774,1336,0.2703,0.1076,0.002127
2157,1337,0.382,0.1074,0.002131
385,1337,0.2071,0.1071,0.002132
8516,1337,0.1787,0.1067,0.002133
11011,1338,0.3375,0.1066,0.002139
13263,1339,0.2031,0.1066,0.002147
10308,1341,0.1038,0.1072,0.002167
7873,1341,0.1932,0.107,0.00217
9144,1342,0.374,0.107,0.002179
4590,1343,0.474,0.107,0.002187
3280,1344,0.3888,0.1067,0.00219
10010,1345,0.2232,0.1071,0.002205
288,1348,0.001946,0.10780000000000001,0.002227
6279,1355,0.3589,0.1104,0.00229
9472,1355,0.4311,0.1101,0.002291
10217,1356,0.06663,0.1098,0.002294
1978,1357,0.4623,0.1102,0.002311
12176,1360,0.3409,0.1109,0.002333
5741,1361,0.2138,0.1109,0.002341
11897,1361,0.4153,0.1108,0.002348
2401,1368,0.2708,0.1133,0.00241
2859,1368,0.5359,0.1131,0.002413
9462,1371,0.3462,0.1139,0.002439
7463,1372,0.3819,0.1137,0.002445
6306,1373,0.4014,0.1138,0.002455
5354,1373,0.2652,0.1137,0.00246
10271,1376,0.3808,0.1142,0.002481
4143,1377,0.04743,0.1143,0.00249
11073,1377,0.6456,0.1142,0.002497
7308,1378,0.09385,0.114,0.002502
3067,1381,0.8338,0.1152,0.002537
2873,1382,0.3604,0.1149,0.002538
10340,1382,0.06949,0.1145,0.002539
5640,1383,0.39,0.1147,0.002552
6315,1384,0.3299,0.1148,0.002563
9513,1385,0.5955,0.115,0.002575
5840,1388,0.124,0.1157,0.0026
8737,1388,0.08865,0.1154,0.002602
4896,1389,0.319,0.1156,0.002615
4729,1390,0.4031,0.1156,0.002624
11413,1391,0.2612,0.1157,0.002635
7082,1392,0.3214,0.1155,0.002639
4380,1393,0.5191,0.1158,0.002655
12611,1394,0.04333,0.1159,0.002666
7615,1395,0.6173,0.1159,0.002674
4422,1396,0.8035,0.1157,0.002677
4385,1397,0.5507,0.1157,0.002687
5199,1400,0.5212,0.1167,0.002718
7036,1402,0.2043,0.1172,0.002738
12056,1403,0.3001,0.1173,0.002751
3459,1404,0.4759,0.1173,0.002759
8274,1406,0.3884,0.1179,0.002781
2290,1406,0.3597,0.1177,0.002785
5320,1408,0.4161,0.1183,0.002808
2101,1409,0.525,0.1184,0.00282
8647,1410,0.2166,0.1183,0.002827
6521,1410,0.3491,0.118,0.002829
5440,1411,0.2489,0.1179,0.002835
10624,1411,0.2401,0.1176,0.002837
337,1411,0.3986,0.1173,0.002839
6934,1413,0.4618,0.1178,0.002858
9957,1414,0.2804,0.1176,0.002863
495,1416,0.1687,0.1181,0.002884
2389,1416,0.4498,0.1181,0.002893
3489,1416,0.3383,0.1178,0.002894
4638,1421,0.5487,0.1192,0.002938
