gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
12950,331.9,8.315,0.4686,0.005177
1105,336.3,49.06,0.4765,0.005299
11659,338.3,1849000000,0.4783,0.005356
10555,338.5,4.377,0.4755,0.00536
10171,339.9,2071000000,0.476,0.005402
2385,341.4,9.116,0.4766,0.005444
11670,342.6,1995000000,0.4764,0.005477
11677,344.8,14.93,0.4787,0.00554
13252,349.1,2.208,0.4862,0.005663
12868,350.3,8.315,0.4859,0.005696
9800,350.6,1631000000,0.4837,0.005706
2939,352.5,1659000000,0.485,0.005759
6080,353.1,3.844,0.4834,0.005776
7875,354.4,3.571,0.4837,0.005816
9265,355.8,3.174,0.4839,0.005855
9728,356.5,1576000000,0.4827,0.005876
4508,358.2,1559000000,0.4838,0.005926
13239,359.9,1.92,0.4849,0.005976
5688,361,4.155,0.4845,0.006008
1310,364.6,1.842,0.4901,0.006114
8384,366.8,1432000000,0.4924,0.006179
13009,370.1,14.13,0.4972,0.006276
10528,370.5,1410000000,0.4952,0.006289
1570,372.4,1.869,0.4968,0.006347
3342,373.8,1367000000,0.4973,0.00639
2027,373.9,5.921,0.4945,0.006392
1845,374.5,1397000000,0.493,0.006409
8476,375.8,11.47,0.4933,0.00645
12907,376.5,75820000000,0.492,0.00647
7279,379.6,4.049,0.4964,0.006565
5339,379.7,9.711,0.4938,0.006568
9893,380.9,21.38,0.49370000000000003,0.006605
11669,380.9,5.255,0.4911,0.006606
7681,381.3,1288000000,0.4892,0.006617
3627,382.5,2.982,0.4892,0.006655
5966,385.9,3.627,0.4942,0.006759
2850,391,1201000000,0.5029,0.006916
3838,392,1166000000,0.5024,0.006947
5816,392,3.117,0.4998,0.006948
11948,396.2,1117000000,0.5065,0.00708
9953,396.8,1110000000,0.5051,0.007099
7239,397.3,4.608,0.5035,0.007114
12941,399,77080000000,0.5047,0.007169
4648,403,7.445,0.5108,0.007294
12709,406.4,14.34,0.5158,0.007403
1293,408.3,10.48,0.5173,0.007464
8596,409,3.318,0.5161,0.007485
1481,409.1,4.722,0.5138,0.007491
1054,410.5,918631382,0.5141,0.007534
6667,412.6,9.108,0.5161,0.007601
12988,413.7,64640000000,0.516,0.007639
1952,414.4,3.58,0.5148,0.00766
403,415.4,864335690,0.5145,0.007695
370,416,18.69,0.5132,0.007713
11701,416.7,856131950,0.5122,0.007737
3643,416.8,3.193,0.5098,0.007738
2549,417.1,2.118,0.508,0.00775
2219,417.5,878843861,0.5063,0.007761
2415,418.9,3.73,0.5068,0.007807
374,419.7,850000000,0.506,0.007833
11600,420.6,2.853,0.5056,0.007865
553,422.1,818901489,0.5061,0.007911
9701,424.1,3.409,0.5079,0.007977
413,424.3,793164826,0.5059,0.007984
10593,427.3,1.061,0.5099,0.008085
4552,430,711000000,0.5131,0.008174
7304,430.3,760680041,0.5113,0.008184
12856,430.5,29.39,0.5092,0.008189
10294,430.6,4.268,0.5071,0.008194
3006,440.1,7.066,0.5244,0.008512
2341,441.4,4.037,0.5248,0.008558
12453,442.2,33.07,0.5241,0.008587
13013,446.1,60240000000,0.5298,0.008719
13001,454.5,63920000000,0.5448,0.009007
12385,454.5,402616998,0.5424,0.009008
