gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
8371,1,9.064e-4,7.515e-5,5.647e-9
12196,2.828,5.788e-13,7.832e-4,1.177e-7
9137,5.292,2.334e-12,0.002679,6.04e-7
12913,9.95,4.098e-12,0.009441,2.838e-6
12848,11.22,0.04829,0.01007,3.783e-6
12975,11.66,4.066e-12,0.009187,4.142e-6
6258,11.83,4.339e-12,0.00815,4.287e-6
12101,11.83,4.343e-12,0.007131,4.287e-6
12885,13.27,4.673e-12,0.008305,5.617e-6
13071,15.3,5.287e-12,0.01044,7.845e-6
12907,19.44,0.05588,0.01657,1.37e-5
1200,20,6.087e-12,0.01622,1.462e-5
2090,22.91,7.02e-12,0.02047,2e-5
4145,23.49,7.209e-12,0.02014,2.119e-5
12926,24.45,7.457e-12,0.0206,2.322e-5
12935,27.17,8.178e-12,0.02457,2.954e-5
3771,29.29,9.329e-12,0.02745,3.507e-5
8519,31.75,1.028e-11,0.03114,4.212e-5
13268,37.95,0.004936,0.04418,6.308e-5
13087,38.73,0.004936,0.04395,6.605e-5
12869,40.62,1.262e-11,0.0466,7.355e-5
13019,41.16,1.108e-11,0.04583,7.576e-5
12824,44.45,1.443e-11,0.05213,9.009e-5
12880,45.3,1.424e-11,0.05212,9.4e-5
11578,46.6,0.008496,0.05333,1.002e-4
2735,46.83,1.457e-11,0.05184,1.013e-4
5492,50.79,0.01855,0.05989,1.215e-4
11259,52.54,0.006266,0.06228,1.311e-4
12985,63.48,0.1626,0.09177,2e-4
12961,64.67,1.816e-11,0.09244,2.084e-4
4630,66.39,1.751e-11,0.09486,2.21e-4
10005,66.48,2.283e-11,0.09217,2.217e-4
12763,81.73,0.04617,0.1414,3.506e-4
11115,81.98,3.055e-11,0.1381,3.529e-4
12838,82.32,3.064e-11,0.1354,3.562e-4
10706,82.99,2.407e-11,0.1341,3.627e-4
13017,90.38,0.1026,0.1575,4.38e-4
8285,90.94,0.03284,0.1555,4.44e-4
12909,90.99,3.319e-11,0.1517,4.446e-4
12933,91.63,0.09486,0.1502,4.515e-4
13241,92.43,3.403e-11,0.1494,4.603e-4
9074,93.76,3.062e-11,0.1505,4.75e-4
669,96.42,3.654e-11,0.1564,5.053e-4
1285,97.12,3.45e-11,0.1553,5.134e-4
12962,97.95,3.642e-11,0.1547,5.232e-4
