target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
MGG_12111T0,1.215038724783967e-35,1.2253665539446306e-31,-2.8557006271810796,0.22916709386367912,7.452574555057499,1.0495480974409908,0.0013171317440280705,0.025296376268049616,0.07745920362085837,0.07745920362085837
MGG_17720T0,5.085986200055557e-16,1.7392750339747479e-12,-3.822343313717312,0.4713457877305109,3.7784894356513656,2.365482286797948,0.10869269353048522,0.07093019647253507,0.2245575838864584,0.2245575838864584
MGG_10568T0,5.173847399032468e-16,1.7392750339747479e-12,-1.8965257995903135,0.23392691046974454,7.040692673996344,0.4596063684988333,0.001112568522142394,0.08097013064073738,0.07668732035069337,0.08097013064073738
MGG_02142T0,2.1387573753979046e-11,5.2639999691774756e-8,-3.640771279322312,0.5437052279054126,7.884698639725673,1.7595225423289194,9.001634904075427e-4,0.44252289878710727,0.08414158897327974,0.44252289878710727
MGG_13610T0,2.609816543965035e-11,5.2639999691774756e-8,-2.471107529797711,0.37064436257891353,5.537599395134384,0.8228128025997005,0.006653514430777646,0.19941235083651598,0.12073379391696742,0.19941235083651598
MGG_16282T0,4.004002353020731e-11,6.730060621702345e-8,-6.292818998663986,0.9528901063414599,5.170019150526877,6.769983627578018,0.014011233558728272,1.3479880985864292,0.1393257593655205,1.3479880985864292
MGG_02241T0,4.6825464059410626e-11,6.746211500559375e-8,1.7740251204666693,0.2695802119741792,6.522263453607299,0.42391925078603765,0.001753683296014342,0.10725655273605067,0.08323939391025915,0.10725655273605067
MGG_05214T0,5.837280593153801e-11,7.358621847744511e-8,-2.1852873855734045,0.3337414066301273,4.852814078805765,0.959871178969446,0.013317767767924607,0.11749949079280635,0.15375722198125927,0.15375722198125927
MGG_01779T0,2.418966948695859e-10,2.4395281677597737e-7,3.741305225119653,0.5908504418496585,4.67557591237735,1.889238678865798,0.0459620351879397,0.4776943317629652,0.16227945628823198,0.4776943317629652
MGG_12582T0,2.3451847430694053e-10,2.4395281677597737e-7,5.279457482367281,0.8331366641893345,4.49056786743044,4.673778601272665,0.08764065510036913,0.9535343967244284,0.1721733018917958,0.9535343967244284
