target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
MGG_10993T0,5.156558133146296e-225,5.236484784210064e-221,-6.110904764144542,0.19082640474906581,4.209449965993344,6.473481833345317,0.003821185427705234,0.025329465729794585,0.05080088969647618,0.05080088969647618
MGG_14110T0,1.6336117969066938e-106,8.294663898793737e-103,-5.099661283655503,0.23263681576900339,3.3625833342628066,4.448174956990717,0.008809995526167779,0.049821804587890206,0.07236983655054405,0.07236983655054405
MGG_10751T0,7.835250016189853e-84,2.6522321304802653e-80,-4.846999091584097,0.24985537119162327,3.163586976086158,4.016967174014524,0.013271043700284334,0.004883044988590896,0.08037051606967141,0.08037051606967141
MGG_15943T0,2.1241256857869586e-13,5.392624084791641e-10,0.9678972314085301,0.13185277479958335,7.4981706501159024,0.31413830636629825,6.347854227190504e-4,0.025442945910805412,0.02113499442119254,0.025442945910805412
MGG_10746T0,1.7683219022327735e-11,3.591461783434763e-8,1.6831814149245816,0.2503253346711065,4.206324308373616,0.6291475803843387,0.021052232865714785,0.07294192690158743,0.05085666680757812,0.07294192690158743
MGG_10748T0,3.956390364890228e-10,6.696190692576711e-7,5.526650787418313,0.8834529655013318,2.7311587056996967,6.606147932300723,0.09427960160212676,1.0764541117775193,0.10285380725650585,1.0764541117775193
MGG_10727T0,4.463806218554342e-7,5.847049437839976e-4,3.6104964119419516,0.7152282825436599,2.2013508653295584,2.19014704708563,0.15612802410391338,0.6111992201216168,0.14287529300550889,0.6111992201216168
MGG_05473T0,4.6062427870723594e-7,5.847049437839976e-4,2.1182035748055834,0.42010945729659915,2.3541148956768625,0.7299980675022021,0.1351047320221888,0.09873187545056891,0.12963320214287577,0.12963320214287577
MGG_15411T0,5.586344973157604e-7,6.303259244712829e-4,-2.799061572776334,0.5592536081242525,1.3265901967181304,1.2971462576731976,0.21288140682805204,-0.05343507031626277,0.25626549047194036,0.25626549047194036
MGG_10745T0,3.227818533749007e-6,0.003277849721022117,0.765074421909182,0.16432844500729504,5.428554458666867,0.14792692354807477,0.004347330124685938,0.0212493213040851,0.036158426633087444,0.036158426633087444
MGG_15494T0,9.184179710216465e-5,0.08478667723386199,-0.7747548067289985,0.19808663060742818,4.5000720853443354,0.2083251747022841,0.012819790096197449,0.022426302836263512,0.04603767974190809,0.04603767974190809
MGG_16414T0,3.4194212272522465e-4,0.26710940432881974,0.6539965408748916,0.18261636274644347,5.310433662081932,0.36895492042889544,0.006102373802312666,0.04392073011179826,0.03711708797084585,0.04392073011179826
MGG_17916T0,3.235080967085159e-4,0.26710940432881974,1.8661545074299848,0.518994728111798,1.6862717936820477,0.687556412579451,0.20341443579657467,0.10338076397627685,0.20061885591518405,0.20061885591518405
MGG_10747T0,5.115613749829636e-4,0.371064697353714,1.6522963265886874,0.4755318014304011,2.0750921659419026,0.7772148666498025,0.18415932187946787,0.013627222542570538,0.15503641937799564,0.15503641937799564
MGG_16676T0,6.201918931105967e-4,0.39362804215863184,-4.56453247154157,1.3336343363406944,1.828515919123327,5.165806121245981,0.4080959514940184,2.2597748631063075,0.18238934219249966,2.2597748631063075
MGG_17819T0,6.201918931105967e-4,0.39362804215863184,-4.56453247154157,1.3336343363406944,1.828515919123327,5.165806121245981,0.4080959514940184,2.2597748631063075,0.18238934219249966,2.2597748631063075
MGG_07367T0,7.192456403789036e-4,0.4296434987086922,-1.616358278924969,0.47791051176360655,1.8554543958709133,0.7412363782220946,0.16344825958105816,0.1643717895589911,0.17914942630017028,0.17914942630017028
MGG_12008T0,7.748417839725637e-4,0.43713990645785467,1.4071359930653042,0.4185875447752667,2.67636228264681,0.50452206412728,0.09583075127438821,0.1669925476870906,0.10628105517261781,0.1669925476870906
MGG_15794T0,8.709847647910626e-4,0.465518436129118,-1.25059739330245,0.375645970094362,2.651052446224659,0.3555945653400233,0.10112006824800196,0.11054477402419952,0.10791362400492648,0.11054477402419952
MGG_00734T0,0.0014179262986225832,0.7199520781256166,1.4656173502078338,0.45930052414116507,2.274824637374765,0.5795429156310047,0.1801207625323,0.029147528478920548,0.13631469468222338,0.13631469468222338
MGG_07573T0,0.9865572472598586,0.9999663922993143,0.0046931509476476506,0.27854529443118564,7.842037172734598,0.14060602133480116,2.648098630641886e-4,0.11611641171156963,0.019961564415830867,0.11611641171156963
MGG_05134T0,0.7657402418144357,0.9999663922993143,0.03380258532760653,0.11344998907857079,8.51521819502894,0.010059407939163158,2.0584114260278509e-4,0.005898110386835558,0.01910050889028896,0.01910050889028896
MGG_03309T0,0.4245026576887948,0.9999663922993143,0.4099592937528451,0.5133256105456308,1.8508742406913357,0.2112681633681709,0.21555907713940822,-0.06494040914620172,0.17969569652365866,0.17969569652365866
