gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
7321,348.5,0.2188,0.5484,0.005646
4122,348.7,3.061e-10,0.5448,0.00565
9223,350.6,0.1133,0.5462,0.005705
7257,358.1,7.044e-5,0.563,0.005924
13245,359.1,0.2086,0.5617,0.005951
9891,362.7,0.04249,0.5678,0.006059
11800,362.8,0.1532,0.564,0.006061
12907,364.3,0.7647,0.564,0.006104
5537,364.9,0.003113,0.5619,0.006123
2606,365.9,0.09592,0.5607,0.006152
6105,367.9,0.004866,0.5622,0.006211
551,370,5.524e-4,0.5642,0.006274
2926,370.5,0.004474,0.5617,0.00629
10948,371.2,0.01176,0.5599,0.006312
8746,372.5,0.0066,0.5595,0.006349
2406,373.9,2.51e-8,0.5595,0.006391
6487,376.9,0.01111,0.5638,0.006483
4876,378.4,2.852e-8,0.564,0.006527
3956,379.3,0.01549,0.5628,0.006556
11797,380.1,1.517e-10,0.5613,0.00658
10255,381.1,0.0159,0.5602,0.006609
9556,382.3,0.1368,0.5598,0.006646
3803,382.9,0.01438,0.5578,0.006665
9717,384.2,0.01866,0.5577,0.006706
12760,384.5,3.507e-10,0.5551,0.006716
414,385.6,3.803e-10,0.5544,0.006749
406,387.9,0.3458,0.5569,0.006821
9548,391.6,0.3789,0.5627,0.006935
4143,392.3,0.02342,0.561,0.006956
6884,402.8,0.03148,0.5842,0.007288
10308,404.8,0.01454,0.5857,0.007351
7685,406,0.03206,0.5855,0.007391
12339,406.2,0.02806,0.5824,0.007396
6010,406.5,0.1987,0.5797,0.007406
3897,408.8,0.03761,0.5821,0.00748
11136,411.9,0.03989,0.5863,0.007579
5870,412,0.2324,0.5832,0.007582
10685,412.7,0.03118,0.5816,0.007605
13247,416,0.01628,0.5865,0.007713
8143,421.7,0.03452,0.5973,0.007899
5151,424.3,0.0326,0.6005,0.007987
8062,425.4,0.03772,0.5996,0.00802
4252,426,0.2875,0.5978,0.008042
13106,426,4.005e-10,0.5946,0.008043
8737,428.6,0.02913,0.5975,0.008128
437,432.4,0.1606,0.6036,0.008255
1513,434.1,0.04338,0.6045,0.008313
255,439.1,0.09158,0.6133,0.00848
4062,444.9,0.2905,0.6242,0.008678
6510,445.4,0.05652,0.6219,0.008693
12111,446,0.01844,0.6201,0.008715
13059,447.4,4.1470000000000003e-10,0.6202,0.008762
6233,449.6,0.04952,0.6223,0.008839
11614,452.7,0.1773,0.6266,0.008946
4447,453.9,0.0324,0.626,0.008986
4952,457.3,0.2101,0.6311,0.009106
13180,463.2,4.879e-11,0.6419,0.009311
3969,470.9,0.5032,0.6573,0.009583
11712,471.4,0.06895,0.6551,0.0096
3257,471.7,0.7081,0.6526,0.009612
11398,475.9,0.225,0.6593,0.00976
9856,477.2,0.2192,0.6593,0.00981
13048,481.6,5.503e-10,0.6666,0.009968
6049,483.8,0.3303,0.6685,0.01005
11401,485.9,0.437,0.6701,0.01012
1787,487.7,0.2424,0.6711,0.01019
12866,488.5,5.856e-10,0.6699,0.01022
13029,491.3,5.538e-10,0.6731,0.01032
350,496.5,8.96e-10,0.6824,0.01051
7479,503.8,6.426e-10,0.6964,0.01078
3292,506.3,0.001192,0.699,0.01087
11442,507.2,5.872e-10,0.6979,0.01091
1218,508.9,8.691e-10,0.6986,0.01097
12007,511.7,0.2044,0.7019,0.01108
2708,511.7,8.723e-10,0.6986,0.01108
5507,511.8,0.1048,0.6954,0.01108
10315,513.3,0.08578,0.6959,0.01114
3871,514.4,0.1009,0.6951,0.01118
9263,517.5,0.09925,0.6991,0.0113
9580,520.4,0.1066,0.7028,0.01141
1815,522.5,0.02646,0.7043,0.01148
8214,523.3,0.1064,0.7031,0.01152
9074,526.5,7.773e-10,0.7073,0.01164
7314,527.4,0.1487,0.7062,0.01167
9706,529.5,0.06403,0.7078,0.01175
6228,530.7,7.093e-10,0.7074,0.0118
1375,531.4,0.09721,0.706,0.01183
617,533,0.08857,0.7063,0.01189
4940,534.1,9.213e-10,0.7057,0.01193
11529,536,0.2495,0.707,0.01201
8926,536.7,7.975e-10,0.7054,0.01203
10150,537.4,0.09236,0.704,0.01206
9709,537.4,0.09419,0.701,0.01206
6482,539.2,0.05453,0.7018,0.01213
12610,540.2,0.1922,0.7012,0.01217
8733,540.3,0.04617,0.6982,0.01217
10683,542.8,6.829e-10,0.7008,0.01227
12674,551.1,0.1369,0.7165,0.0126
3483,552.3,0.1372,0.7162,0.01265
10298,561.5,1.011e-9,0.7339,0.01302
5158,570.7,0.1354,0.7516,0.01339
3269,571.7,0.06997,0.7506,0.01343
9292,573.1,9.149e-10,0.7508,0.01349
9472,573.7,0.3649,0.7489,0.01351
7036,574.6,9.945e-10,0.7478,0.01354
5167,576.9,0.1174,0.75,0.01364
1605,577,0.02157,0.7472,0.01365
12773,577.4,9.016e-10,0.7449,0.01366
4759,578.5,9.991e-10,0.7443,0.0137
9638,580.7,9.584e-10,0.7463,0.0138
8688,583.6,0.4997,0.7497,0.01392
12868,590.3,8.815e-10,0.7614,0.01419
8585,590.4,6.265e-10,0.7587,0.0142
11535,592,0.4194,0.759,0.01426
7743,592.1,0.2414,0.7563,0.01426
9626,592.4,0.1576,0.7539,0.01428
9926,592.8,0.2021,0.7518,0.01429
6255,593.8,0.0661,0.751,0.01434
1952,594.5,0.412,0.7496,0.01437
10027,595.5,0.1307,0.749,0.01441
10309,596.4,1.001e-9,0.748,0.01445
723,596.5,0.0204,0.7453,0.01445
12950,597.6,8.815e-10,0.7448,0.0145
1322,599.6,0.05004,0.7462,0.01458
8121,602.2,0.201,0.7489,0.01469
10359,602.7,0.1359,0.7472,0.01471
10970,602.7,0.1364,0.7444,0.01471
8786,603,1.053e-9,0.7421,0.01472
4467,603.2,0.2164,0.7397,0.01473
7565,603.4,7.937e-10,0.7373,0.01474
4766,603.4,6.204e-10,0.7346,0.01474
11820,606.8,0.1559,0.739,0.014880000000000001
7330,607.6,0.08111,0.738,0.01492
1248,609.8,1.5e-9,0.7399,0.01501
615,610.7,1.319e-9,0.739,0.01505
9666,612.1,0.3604,0.7391,0.01511
1292,612.6,6.482e-10,0.73740000000000006,0.01513
13275,612.6,0.122,0.7348,0.01513
10907,612.8,0.09575,0.7325,0.01514
4748,613.6,0.1654,0.7316,0.01517
12355,613.8,0.07931,0.7292,0.01518
12819,615.2,8.443e-10,0.7294,0.01524
10217,616.7,9.657e-10,0.7299,0.0153
995,616.8,1.376e-9,0.7276,0.01531
12236,617.4,0.1313,0.7261,0.01533
3746,617.4,1.294e-9,0.7237,0.01534
1650,618.2,0.1596,0.7227,0.01537
11639,619.2,0.2155,0.7222,0.01541
5863,622.1,0.1781,0.7254,0.01554
1958,623,0.1801,0.7247,0.01558
13008,628,1.017e-9,0.7322,0.01579
4283,629.7,0.1895,0.7331,0.01587
6111,629.9,0.128,0.7308,0.01587
