gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
8523,5251,0.9524,1.034,0.5334
12009,5251,0.9914,1.034,0.5335
7559,5252,1.096,1.034,0.5336
6550,5252,0.8234,1.034,0.5337
5832,5253,1.33,1.034,0.5338
10835,5253,1.539,1.034,0.534
9430,5254,1.275,1.034,0.5341
2552,5254,1.033,1.034,0.5342
10992,5255,1.874,1.034,0.5342
888,5255,0.9542,1.034,0.5342
3965,5255,1.845,1.034,0.5343
8325,5255,0.9137,1.034,0.5344
9022,5255,1.012,1.034,0.5344
3079,5255,1.255,1.034,0.5344
1061,5255,0.8809,1.034,0.5344
3580,5256,0.7984,1.034,0.5345
11714,5256,3.552,1.033,0.5345
479,5256,1.587,1.034,0.5347
6899,5257,0.7302,1.033,0.5347
9846,5257,3.442,1.033,0.5347
1461,5257,0.8314,1.033,0.5347
12372,5257,0.2694,1.033,0.5348
9346,5257,0.9867,1.033,0.5348
1351,5257,0.8674,1.033,0.5348
10531,5258,0.9082,1.033,0.535
11158,5258,0.9725,1.033,0.535
8756,5258,0.8603,1.033,0.535
3133,5258,0.8772,1.033,0.5351
11546,5258,0.8589,1.033,0.5351
4123,5259,0.9097,1.033,0.5353
12655,5260,0.9893,1.033,0.5354
2533,5260,0.9678,1.033,0.5354
6128,5260,2.538,1.033,0.5355
3012,5260,0.8207,1.033,0.5355
12726,5260,1.491,1.033,0.5355
9708,5261,0.8354,1.033,0.5357
9628,5261,1.012,1.033,0.5357
3487,5261,1.107,1.033,0.5357
1404,5262,0.4942,1.033,0.5358
12776,5262,2.651,1.032,0.5358
1262,5262,1.433,1.032,0.5358
7535,5262,1.038,1.032,0.5359
11204,5262,0.9624,1.032,0.536
2217,5262,0.9029,1.032,0.536
5114,5263,0.9203,1.032,0.5362
4839,5264,1.791,1.033,0.5363
10712,5264,0.9384,1.032,0.5364
7251,5264,0.9351,1.032,0.5364
10472,5264,0.9003,1.032,0.5364
12016,5265,1.941,1.032,0.5366
5774,5266,1.458,1.033,0.5368
6186,5266,0.9112,1.033,0.5369
9311,5267,1.24,1.033,0.5369
5856,5267,0.9321,1.033,0.537
11769,5267,1.157,1.032,0.537
5710,5267,1.014,1.032,0.537
8803,5267,0.8596,1.032,0.5371
11746,5267,0.6528,1.032,0.5371
2888,5268,0.9254,1.032,0.5372
10671,5269,0.8633,1.033,0.5374
5356,5270,0.9733,1.033,0.5376
7655,5271,0.6851,1.033,0.5379
5104,5272,0.7361,1.033,0.5381
6613,5272,0.8756,1.033,0.5382
11003,5272,0.8874,1.033,0.5382
8016,5273,1.274,1.034,0.5384
11813,5273,1.026,1.033,0.5384
4421,5274,0.9754,1.033,0.5385
9702,5274,0.8877,1.033,0.5385
7445,5274,1.385,1.033,0.5386
1904,5274,1.041,1.033,0.5386
11640,5275,1.037,1.033,0.5387
8571,5275,1.126,1.033,0.5388
6425,5275,1.003,1.033,0.5389
1950,5276,1.086,1.033,0.5389
1419,5276,0.9205,1.033,0.5389
8991,5276,1.244,1.033,0.539
2016,5277,0.8877,1.033,0.5391
4329,5277,0.817,1.033,0.5392
5790,5277,0.7914,1.033,0.5392
4943,5277,0.8761,1.033,0.5393
1164,5277,0.8499,1.033,0.5393
7926,5277,0.9271,1.033,0.5394
5939,5278,1.047,1.033,0.5395
4927,5279,1.655,1.033,0.5396
3681,5279,1.162,1.033,0.5397
1929,5279,1.194,1.033,0.5397
4580,5279,0.8743,1.033,0.5398
3119,5280,0.7949,1.033,0.5399
11927,5281,1.337,1.033,0.5401
8977,5282,1.131,1.033,0.5403
7953,5283,1.152,1.034,0.5406
12197,5283,0.9259,1.034,0.5407
12687,5284,1.016,1.034,0.5408
11419,5285,0.7215,1.034,0.541
3344,5285,0.8446,1.034,0.541
5042,5285,1.12,1.034,0.541
912,5286,1.164,1.034,0.5412
8250,5286,0.8785,1.034,0.5413
3993,5287,0.9215,1.034,0.5414
6839,5288,1.535,1.035,0.5417
963,5288,0.8719,1.035,0.5417
4294,5288,0.9871,1.034,0.5418
12090,5289,0.8342,1.035,0.5419
11496,5289,1.772,1.035,0.542
6347,5290,0.9201,1.035,0.5421
4997,5290,0.913,1.035,0.5421
11190,5290,0.9749,1.034,0.5422
1303,5291,1.848,1.035,0.5423
998,5291,0.9004,1.035,0.5424
7021,5291,1.048,1.035,0.5425
2939,5292,2.199,1.035,0.5427
9239,5292,1.928,1.035,0.5427
3152,5293,1.46,1.035,0.5428
8133,5293,0.997,1.035,0.5429
8486,5293,0.8785,1.035,0.5429
2182,5293,0.8294,1.035,0.5429
7553,5293,0.8791,1.034,0.5429
3241,5294,0.9056,1.034,0.543
9021,5294,0.9217,1.034,0.543
10067,5294,1.085,1.034,0.5431
1143,5295,0.8634,1.034,0.5432
5882,5295,0.8618,1.034,0.5432
5784,5295,0.8455,1.034,0.5434
8403,5295,1.083,1.034,0.5434
4273,5296,1.345,1.034,0.5435
1915,5296,0.8745,1.034,0.5435
4282,5297,0.9924,1.034,0.5437
7818,5298,0.8542,1.035,0.5438
97,5298,0.7694,1.034,0.5439
3650,5298,0.9157,1.034,0.5439
5948,5298,0.8791,1.034,0.544
956,5298,1.021,1.034,0.544
784,5298,0.8021,1.034,0.544
2500,5299,0.8979,1.034,0.5441
502,5299,1.483,1.034,0.5442
8763,5299,0.9193,1.034,0.5442
1585,5300,1.277,1.034,0.5443
4158,5301,0.6118,1.034,0.5445
5911,5301,0.8715,1.034,0.5446
9944,5301,1.199,1.034,0.5446
6894,5301,0.8587,1.034,0.5446
3466,5301,0.9793,1.034,0.5446
5102,5301,0.8571,1.034,0.5446
9501,5302,1.068,1.034,0.5449
12184,5302,0.7824,1.034,0.5449
1893,5302,0.8266,1.034,0.5449
10367,5302,0.9473,1.034,0.5449
1026,5303,0.8876,1.034,0.545
4709,5303,2.018,1.034,0.5451
812,5303,1.337,1.034,0.5451
3879,5303,0.6649,1.034,0.5452
9718,5304,1.031,1.034,0.5453
8066,5304,0.9333,1.034,0.5453
8036,5305,0.7971,1.034,0.5454
6499,5305,1.558,1.034,0.5454
10955,5305,0.907,1.034,0.5455
11629,5306,1.703,1.034,0.5458
285,5307,0.8953,1.034,0.5458
7813,5307,0.8936,1.034,0.5459
12681,5307,0.881,1.034,0.5459
11365,5307,0.9462,1.034,0.5459
1966,5308,1.697,1.034,0.5461
4449,5309,0.8373,1.034,0.5463
10540,5309,1.208,1.034,0.5463
993,5309,0.8594,1.034,0.5463
2160,5309,0.8961,1.034,0.5463
12120,5309,1.053,1.034,0.5464
9796,5309,0.8968,1.034,0.5465
1059,5309,1.163,1.034,0.5465
649,5309,0.8696,1.033,0.5465
8515,5310,0.9952,1.034,0.5467
2351,5311,1.145,1.034,0.5468
2360,5311,1.367,1.034,0.5468
6205,5311,1.707,1.034,0.5469
10696,5312,0.9219,1.034,0.547
2184,5312,0.859,1.034,0.5471
10532,5312,1.507,1.034,0.5471
4892,5312,1.266,1.033,0.5472
9259,5312,1.594,1.033,0.5472
10326,5313,1.268,1.033,0.5473
