gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
511,11.83,18370000000,0.05705,4.287e-6
1112,12.41,14240000000,0.03193,4.799e-6
12845,14.42,12840000000,0.03032,6.835e-6
7917,18.33,13190000000,0.03976,1.195e-5
13300,21.77,153.8,0.04733,1.778e-5
8300,23.66,9729000000,0.04777,2.154e-5
8177,24.49,11830000000,0.04431,2.331e-5
6711,26.27,9535000000,0.0455,2.735e-5
8284,27.5,5898000000,0.04489,3.036e-5
3235,28.77,29.6,0.04481,3.368e-5
11226,29.39,6167000000,0.04276,3.535e-5
13036,30.3,6336000000,0.042,3.787e-5
2470,31.62,8825000000,0.04273,4.174e-5
42,40.2,407.2,0.06829,7.184e-5
8268,40.74,11170000000,0.06569,7.405e-5
4137,41.64,6004000000,0.06469,7.778e-5
11061,46.13,5438000000,0.07665,9.792e-5
3685,46.65,4417000000,0.07422,1.004e-4
12778,47.48,6186000000,0.07315,1.044e-4
9881,49.03,24.94,0.0747,1.123e-4
10509,57.24,3455000000,0.1006,1.587e-4
821,65.95,3450000000,0.1317,2.177e-4
6004,66.95,3879000000,0.1302,2.251e-4
13234,71.3,46210000000,0.1436,2.59e-4
13146,72.1,46210000000,0.1413,2.655e-4
4122,72.59,3267000000,0.1379,2.695e-4
12557,77.94,40.03,0.1555,3.156e-4
8725,79.59,3313000000,0.1571,3.306e-4
669,89.58,2057000000,0.1971,4.294e-4
8282,91.98,3035000000,0.202,4.553e-4
4766,95.12,1612000000,0.2105,4.903e-4
8585,98.44,1596000000,0.22,5.289e-4
9562,98.46,2377000000,0.2134,5.292e-4
7462,99.35,2343000000,0.2113,5.398e-4
4923,100.1,6.893,0.2088,5.492e-4
9172,103.3,2505000000,0.2177,5.889e-4
11442,109.7,1703000000,0.2415,6.716e-4
7864,116.2,15.41,0.2664,7.606e-4
6228,119.8,1410000000,0.2749,8.056e-4
11170,123.8,4.182,0.2852,8.573e-4
288,126.1,2389000000,0.2884,8.886e-4
10434,127,1905000000,0.2852,9.001e-4
13168,128.5,52.77,0.2846,9.196e-4
10975,129.5,49.93,0.2826,9.343e-4
12826,130.4,1184000000,0.2799,9.466e-4
3185,134.2,929151911,0.2887,9.98e-4
8502,137.4,60.68,0.2955,0.001044
12303,138.5,14140000000,0.2935,0.001059
9314,138.6,32.56,0.2882,0.001061
11362,138.8,18,0.283,0.001063
8199,144.8,871627007,0.3001,0.00115
3250,144.9,1349000000,0.2949,0.001152
12505,149.5,2068000000,0.3067,0.001222
2423,151.2,964581645,0.3074,0.001247
4741,159.4,1024000000,0.3326,0.001375
6647,160.7,15.81,0.3317,0.001396
3621,161.7,860864108,0.3295,0.001411
13249,163.4,621791055,0.3304,0.00144
11956,173.8,1265000000,0.3638,0.001613
11403,176,6.782,0.366,0.00165
7873,177.9,1053000000,0.3672,0.001683
1399,181,501883234,0.3728,0.001737
7612,183.6,732099170,0.3766,0.001783
3489,186.9,36.25,0.3829,0.001841
4279,188.7,575470303,0.3838,0.001875
12374,190.7,87.39,0.3855,0.001912
5243,196.6,436703177,0.4012,0.00202
5034,198.1,3.542,0.4008,0.002048
9275,199.7,12.47,0.4011,0.00208
8662,199.8,3.102,0.3954,0.00208
10324,201.4,10.86,0.3958,0.002112
10555,203.3,464724305,0.397,0.002148
5453,205,381422896,0.3973,0.002179
5351,207.5,3.766,0.4008,0.002229
1557,212,450755464,0.411,0.002316
3712,212.2,535000000,0.4066,0.002322
5840,212.5,13.86,0.4021,0.002327
9957,212.7,27.71,0.3978,0.002332
7262,213.3,333611488,0.3948,0.002344
10323,216.5,3.845,0.4004,0.002407
6603,219.2,7.543,0.4044,0.002462
13022,223.2,2.112,0.4127,0.002543
3401,224.7,505861561,0.4127,0.002574
10960,225,429656382,0.409,0.002582
8365,228,421420266,0.4138,0.002643
9853,234,301923355,0.4285,0.002769
11504,234.1,2.699,0.4241,0.002773
1846,235.3,284096172,0.423,0.002797
3593,235.7,7.355,0.4198,0.002808
8823,243.5,4.946,0.44,0.002976
13273,248.1,5989000000,0.45,0.003078
11800,248.6,6.528,0.447,0.003091
1245,249.4,6.896,0.4447,0.003108
11529,252.4,4.008,0.4493,0.003174
3956,255.1,64.55,0.4532,0.003235
2711,256.8,2.937,0.4539,0.003274
13298,258.6,210514582,0.4549,0.003316
11783,259.1,10.41,0.452,0.003329
3353,259.8,234108079,0.4494,0.003344
9483,260.3,243277192,0.4466,0.003356
11703,261.5,3.41,0.4459,0.003384
11473,264.4,1.561,0.4502,0.003451
10476,264.9,5.967,0.4473,0.003462
3447,265.6,40.9,0.4453,0.00348
6495,267.7,137000000,0.4473,0.003529
8412,270,168156691,0.4498,0.003583
11493,272.6,8.699,0.4533,0.003645
7249,273.3,280915811,0.4511,0.003662
163,274.5,160885897,0.4505,0.003691
2981,276.6,10.24,0.4526,0.003741
8342,281.5,150286942,0.4628,0.003861
12907,282.1,1.308,0.4604,0.003875
12036,283.2,95141103,0.4596,0.003903
11644,284,3.036,0.4579,0.003923
10479,285.9,91811718,0.4592,0.003969
11445,286.1,102171966,0.4559,0.003974
11159,288.5,4377000000,0.4588,0.004034
4488,291.6,147594279,0.4636,0.004111
201,296,10.06,0.4721,0.004222
2427,296,6.846,0.4684,0.004224
6873,302.8,4.519,0.4836,0.004398
9906,303.1,6.867,0.4805,0.004405
324,303.2,4.561,0.4768,0.004407
437,303.4,6.227,0.4737,0.004414
6537,305.5,3.461,0.4756,0.004468
10091,306.6,130528650,0.4748,0.004495
5859,311,102622029,0.4832,0.004612
2606,313.1,10.42,0.4852,0.004667
2341,316.9,13.82,0.4919,0.004768
962,317.8,123166655,0.4907,0.004794
4234,318.7,71370556,0.4893,0.004817
10042,322.6,3298000000,0.4963,0.004923
12825,324.2,5.431,0.4968,0.004965
2447,325.9,2.849,0.4978,0.005013
2798,329.8,3.434,0.5046,0.005119
763,333.5,94483895,0.5108,0.00522
9295,335.1,41369136,0.5116,0.005267
12776,336.7,1.05,0.512,0.005309
12312,338.5,3.455,0.5132,0.005361
126,339,82919958,0.5109,0.005375
13245,339.9,4.795,0.5097,0.005401
11065,342.3,5.31,0.5125,0.005469
12760,346,2851000000,0.5186,0.005573
10654,346.2,68224375,0.5157,0.00558
3290,346.6,3635000000,0.513,0.00559
9075,354.9,15199549,0.5312,0.005828
9398,359,1.634,0.5384,0.005948
11797,361.5,6591000000,0.5415,0.006022
11612,363.8,3.827,0.544,0.006091
7257,365.3,14196,0.5443,0.006135
551,365.5,1810,0.5411,0.00614
473,365.9,44801438,0.5385,0.006152
8478,366.4,6.919,0.5365,0.006168
1517,369.7,2.783,0.5414,0.006266
9626,370.4,6.345,0.5396,0.006286
2406,373.9,39835409,0.5452,0.006391
8746,376.5,151.5,0.5483,0.00647
6105,378.8,205.5,0.551,0.006542
3292,383.9,838.7,0.5606,0.006698
6487,384.5,90,0.5585,0.006715
4968,385.5,107.1,0.5576,0.006746
414,385.6,2630000000,0.5544,0.006749
9891,386.5,23.53,0.5534,0.006778
3803,387.5,69.53,0.5524,0.006808
9556,391.2,7.31,0.5582,0.006921
6093,393.3,5.794,0.5602,0.006988
9717,394.8,53.59,0.5606,0.007036
12620,397.8,54.05,0.5648,0.00713
3871,401.9,9.914,0.5716,0.007259
12454,406,24.9,0.5784,0.007389
10685,407.7,32.08,0.5794,0.007446
7685,409.9,31.19,0.5814,0.007515
4447,412.8,30.86,0.5852,0.007608
6080,412.9,1.744,0.5822,0.007612
10308,423.1,68.76,0.6043,0.007947
6010,425.1,5.033,0.6058,0.008012
5151,425.4,30.68,0.6031,0.008021
3897,425.4,26.59,0.5998,0.008023
3322,427,30.57,0.6003,0.008076
8062,428.3,26.51,0.6001,0.008117
8603,428.4,4.502,0.5971,0.008122
3983,428.7,2.702,0.5946,0.008132
6884,429.5,31.76,0.5931,0.008156
11136,429.6,25.07,0.5901,0.00816
13195,430,20500000000,0.5879,0.008173
12610,435.9,5.203,0.5989,0.008371
1513,436.9,23.05,0.5981,0.008404
8143,437.1,28.97,0.5954,0.008411
13247,437.5,61.42,0.5932,0.008426
6510,441.4,17.69,0.5995,0.008559
8737,445.1,34.32,0.6051,0.008685
13106,445.7,2497000000,0.6033,0.008704
6233,445.9,20.19,0.6005,0.00871
13048,448.6,1817000000,0.6038,0.008802
11712,449.9,14.5,0.6039,0.00885
11614,452.7,5.641,0.6074,0.008946
5537,453.2,321.2,0.6053,0.008961
7961,454,6.284,0.6042,0.00899
6053,457.7,11.96,0.6098,0.009119
13059,459.2,2411000000,0.6102,0.009172
12111,463.2,54.23,0.6165,0.009312
13169,466.2,12.72,0.6203,0.009416
3969,470.9,1.987,0.6282,0.009583
4143,475.4,42.69,0.6356,0.009743
13180,479.4,20500000000,0.6418,0.009887
11105,479.7,4219000000,0.6395,0.0099
9856,481.2,4.562,0.6398,0.009953
13029,481.7,1806000000,0.6378,0.00997
7181,482.6,12.16,0.6369,0.01
6049,484.2,3.028,0.6375,0.01006
7881,484.4,12030000000,0.6349,0.01007
4433,485.9,1903000000,0.6353,0.01012
11350,486.8,9.933,0.6344,0.01015
3800,488.2,5.251,0.6347,0.01021
9548,489.5,2.639,0.6347,0.01025
10948,492.5,85.05,0.6385,0.01036
255,499.1,10.92,0.6503,0.01061
