target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
MGG_16612T0,4.448980224348768e-29,4.558870035890183e-25,1.4855430475386489,0.13272938472700999,6.502460782439562,0.37902936620471755,0.002128950565194691,0.021197892940352354,0.02429668378982125,0.02429668378982125
MGG_03963T0,1.3478976633995628e-25,6.90595367842766e-22,2.008210050552218,0.1920277753653657,4.8312314946874455,0.7907496838158533,0.013531742404985466,0.03798174758335895,0.04178025736267154,0.04178025736267154
MGG_17720T0,1.92381671861269e-22,6.571116638541411e-19,2.1514451665698653,0.22075761088524531,4.828802445466778,0.8959300495624942,0.01606217332861268,0.05703871081702937,0.04181440994561871,0.05703871081702937
MGG_06868T0,1.0270880042892804e-21,2.6311426949880642e-18,2.1278273291169567,0.22224736572808376,8.62529193353126,1.3126191412529462,3.365884510761909e-4,0.07375424890853272,0.020833059884399235,0.07375424890853272
MGG_18082T0,3.474914467279638e-21,7.121489709242891e-18,1.9672815540328752,0.2082361657254081,7.41936261681056,0.7198246015575348,0.0014917475053037486,0.06355170356872568,0.0198717986069789,0.06355170356872568
MGG_16282T0,1.6472126878649393e-19,2.8131647354253387e-16,4.46179171985423,0.49386031643250056,5.368008246505982,3.3515027153028676,0.09986883867092881,0.26597817954928543,0.035135768540898685,0.26597817954928543
MGG_14372T0,1.9658022229033913e-16,2.877653625441579e-13,1.3669706994833815,0.1662142260357397,5.886650975531048,0.5193917401068849,0.0037820112421928943,0.037658742162797056,0.029458114983129526,0.037658742162797056
MGG_14367T0,1.3419519498306713e-14,1.718872703739361e-11,-1.3931388475155289,0.18088556358068325,5.552697672156786,0.4119759001695488,0.004848122891514968,0.044231257776337116,0.0330788639847091,0.044231257776337116
MGG_07885T0,1.296502605954827e-13,1.4761402448021238e-10,-2.487686269784162,0.3358775859057348,3.076687543424259,1.0767415485882066,0.07783690747815893,0.01753585753920993,0.09138372159263738,0.09138372159263738
MGG_02246T0,2.1247560025238407e-13,2.1772374757861798e-10,-1.3919876495382058,0.18962594466402583,4.760841711678534,0.5808423368942599,0.011145550327172684,0.02967722120559093,0.04279144800741358,0.04279144800741358
MGG_02241T0,1.2521654341751444e-12,1.1664490185447912e-9,-0.9831362529457067,0.13847980829902617,6.20223880001032,0.34010276066857814,0.0022375960070834047,0.025883329142196407,0.02652738995271915,0.02652738995271915
MGG_02224T0,2.400235331227314e-12,1.891939341468176e-9,-1.6013605579045174,0.22847196968793648,6.952827211956233,0.43310629596705597,0.001149466021455945,0.07714969537817208,0.021685327118674377,0.07714969537817208
MGG_13464T0,2.3040724310475692e-12,1.891939341468176e-9,-2.4657094235311514,0.3515049573214477,4.422345268197393,1.4071724328404984,0.020695987682730826,0.16463761484959832,0.04842780953931858,0.16463761484959832
MGG_12049T0,1.8208202820706448e-11,1.3327103878841356e-8,1.185190171878961,0.1763751007667829,9.538052548644337,0.707171001246279,1.1219007321961297e-4,0.046550074182519594,0.026856813214278196,0.046550074182519594
MGG_00750T0,1.025104979342415e-10,7.002833815547817e-8,-1.435800384513813,0.22215001920721572,6.242393871855441,0.5663252511040734,0.0022839666713238196,0.07174197987932564,0.0262092204439497,0.07174197987932564
MGG_02720T0,1.609108367926432e-10,1.0305333403838843e-7,-1.9175706428008807,0.29987087811066765,3.720805147426964,0.7565558317077993,0.02971769015017754,0.10516612515811675,0.06437851912259801,0.10516612515811675
MGG_04692T0,2.585207335431748e-10,1.5582717391864188e-7,-0.8966824977012645,0.1418395686249563,6.497918915759599,0.21842175006596157,0.0016888091330976266,0.028488885708472904,0.024328410773761595,0.028488885708472904
MGG_05432T0,4.052562800291197e-10,2.307033945254661e-7,2.969982912080611,0.47504603853331123,2.0813434846097607,1.93104713254695,0.11645259920486688,0.22205050888442135,0.18306201954383336,0.22205050888442135
MGG_01447T0,5.315131977817226e-10,2.8665345987733215e-7,0.7304933261763658,0.11764112816793508,7.37190632694826,0.2493561664054599,7.564926822471144e-4,0.004484714624552301,0.020002659872689673,0.020002659872689673
MGG_02226T0,7.112282633076813e-10,3.4704552448161e-7,-0.9359396321146982,0.15185024293176563,6.967121405401126,0.20595461317158076,0.0011175454671051319,0.033470198950549215,0.021620353724558252,0.033470198950549215
MGG_08670T0,7.103474935636755e-10,3.4704552448161e-7,1.4852909618032744,0.24097132903959928,7.031510263579523,0.6497106294830763,0.0013228152154434068,0.0857779569132228,0.021328741377367753,0.0857779569132228
MGG_15143T0,8.713472697486536e-10,4.058497942324751e-7,1.7373279552266696,0.28335147310493375,3.5568559243763875,0.5773596207379991,0.0508360367589006,0.05366253627518449,0.06959604920720333,0.06959604920720333
MGG_03959T0,1.2280743801893228e-9,5.471338336434778e-7,0.9674917964171722,0.15921768638420328,5.536168673400391,0.18233826964035585,0.004763223102753432,0.007844724265939833,0.033262184383554314,0.033262184383554314
MGG_02240T0,1.3351419362903695e-9,5.700499758819757e-7,-0.9051090512172218,0.14928131522531418,8.348352684304476,0.2087817507899693,2.4775815728440923e-4,0.03317960845581502,0.019931056576767255,0.03317960845581502
MGG_14595T0,1.5534641482313876e-9,6.367338850770811e-7,-2.321559199620053,0.3844459009919685,4.965718175659619,3.6651657712746197,0.04769200122717496,0.17400597495711465,0.03996284037003682,0.17400597495711465
MGG_01991T0,3.032420900522334e-9,1.1951237295250908e-6,1.4315100269891354,0.24140813349134113,5.8745489222556895,0.5270591014049921,0.004232147648237524,0.08318468272542222,0.02958293375761891,0.08318468272542222
MGG_08089T0,3.296458041277461e-9,1.2510668721840794e-6,-0.7755060713089177,0.13108379280778013,6.523922075902203,0.14307394117375888,0.0016265900515937872,0.019452975214400425,0.024147851053715752,0.024147851053715752
MGG_05316T0,3.5634750472990608e-9,1.3041046003454813e-6,1.4140121919320152,0.2395299733145178,4.4346989289044325,0.31388257490185545,0.01513446760818053,0.07092744456589987,0.04819784180386611,0.07092744456589987
MGG_10530T0,8.620691010143574e-9,3.0460765786531453e-6,1.03114917148315,0.1791480271081883,4.966587429210696,0.2521852717893744,0.00818949863371107,0.025735858635386143,0.039951524791423165,0.039951524791423165
MGG_10580T0,9.178933129825323e-9,3.1352175927106695e-6,-1.1985321059977134,0.2086129700389293,6.714834311853691,0.6777613291792925,0.0015000883167198217,0.06377896858597498,0.02291733322525745,0.06377896858597498
MGG_03945T0,1.549558575761262e-8,5.122040879298598e-6,1.3327069895281238,0.23562778424289407,4.727998892182884,0.3665612624433898,0.012006807598463431,0.0712738714623603,0.043279385467869066,0.0712738714623603
MGG_17703T0,1.9838693320930872e-8,6.352721576861833e-6,-1.026375713779423,0.18284379179132426,5.457738910566995,0.3307351573524886,0.00483784560421843,0.04530993269072526,0.03413134472734669,0.04530993269072526
MGG_06577T0,2.239924760458021e-8,6.955305763761618e-6,-1.559776048307582,0.27891151675294845,5.4909815750386795,3.060077296629006,0.018293000323145507,0.09839445094299981,0.03376242622906715,0.09839445094299981
MGG_15807T0,3.112036826657708e-8,9.379129812576922e-6,1.0700597922903408,0.19332558375961817,5.663386448579067,0.3447099825484003,0.004641558746645261,0.051420613257350437,0.0318520910971605,0.051420613257350437
MGG_00467T0,3.546719547605653e-8,1.0383781486947178e-5,-0.7525817412405854,0.13653383467503827,6.437592561732181,0.45088998994519636,0.0019344426412636626,0.026027789375342357,0.024756819331202034,0.026027789375342357
MGG_09834T0,3.828109028298771e-8,1.0896287003604864e-5,0.9787100019827207,0.1779924681722813,5.931250664743294,0.7547728422656536,0.0036782230235918667,0.04384375506549897,0.02900463794834307,0.04384375506549897
MGG_03231T0,4.0721487810334614e-8,1.1277650961959427e-5,-1.1551799468524024,0.21050371331492568,4.301547358308848,0.2695700673162794,0.01573930301643091,0.018921099019886145,0.050728416962627705,0.050728416962627705
MGG_08593T0,5.5025268446458775e-8,1.4837998046601658e-5,-1.1384111524373732,0.20948791727813257,7.666753248025728,0.4835403182733923,6.288032099416378e-4,0.06519897801835291,0.01945264782919317,0.06519897801835291
MGG_00710T0,5.834851527816056e-8,1.5330698360392597e-5,-1.1754735334265383,0.2167254984929994,6.0297078719450115,0.33761374990162696,0.0026690337614744455,0.06778587878408418,0.028044565542221244,0.06778587878408418
MGG_16812T0,9.897231230946554e-8,2.5354232105877336e-5,-4.054725266546641,0.7609362170453152,2.640341189981234,3.44380365982927,0.17390374613320536,0.694632143483647,0.12212589206845083,0.694632143483647
MGG_01304T0,1.0483554955411665e-7,2.604183661250951e-5,0.6241402909592358,0.11736071823215274,8.110278615843747,0.06462948866232437,3.381963015047695e-4,0.020322110974445348,0.01945054832271617,0.020322110974445348
MGG_02242T0,1.0673925419394939e-7,2.604183661250951e-5,-0.7137292092345939,0.13428936698728516,6.3817626868508475,0.1756101528844548,0.0018869880264945548,0.013354463261694916,0.025163463102274068,0.025163463102274068
MGG_08830T0,1.3723206830137642e-7,3.270272102056288e-5,-1.695365802519836,0.32176750273615273,6.739058176814363,0.6967111968666573,0.001447195444981285,0.15385429328060876,0.022775166825675285,0.15385429328060876
MGG_03326T0,1.4088873815342807e-7,3.2811065905867665e-5,-1.3301030227571302,0.2526750329754113,5.819767857535579,0.4385860719425247,0.003368453641325616,0.09239855479236213,0.030156445342188375,0.09239855479236213
MGG_01935T0,1.9372659407946083e-7,4.4113697989605224e-5,1.0369827298039713,0.19921829090834048,4.585061176065587,0.5632465678362047,0.013992356636930858,0.04319108483490186,0.045539534511729395,0.045539534511729395
MGG_10879T0,2.143060423513866e-7,4.7739000347275185e-5,0.8096885489024167,0.1561152363511578,6.13225536952148,0.10407125284634994,0.0025025303349864047,0.03405542019648038,0.027114784458439452,0.03405542019648038
MGG_05788T0,2.665874893125044e-7,5.8121744744366655e-5,0.7052200695447713,0.13705153692491798,7.797247434770907,0.11587580571181158,4.583287024507474e-4,0.027716356957772484,0.019344882288542142,0.027716356957772484
MGG_03079T0,2.86160383169583e-7,6.10892801320566e-5,2.106385302787173,0.41041413401187193,2.7340411998184204,1.5013587287742143,0.13816339822034943,0.04379422342349554,0.11449624387472264,0.11449624387472264
MGG_00800T0,2.9855230380241954e-7,6.243398891966108e-5,0.607021527928521,0.11845805018737862,8.629995375867432,0.14865710437905869,1.9685318420670982e-4,0.009344727205904183,0.020851611297086556,0.020851611297086556
MGG_12613T0,3.061381403494886e-7,6.273995048322419e-5,0.8632973268137807,0.16862499484278434,5.777229891021082,0.26682058125820074,0.003765287730971215,0.03888629559762235,0.030610311444665556,0.03888629559762235
MGG_14594T0,3.7111277682738576e-7,7.456456125784748e-5,-2.6348743147818245,0.5183487037405009,2.082847995976393,2.475498763060137,0.12402399925509673,0.2790040687490896,0.1828557318116134,0.2790040687490896
