gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
8371,1,4.36e-13,7.515e-5,5.647e-9
9137,2.828,2.672e-12,7.832e-4,1.177e-7
13022,13.42,0.3577,0.02558,5.768e-6
13028,15,0.125,0.02493,7.493e-6
13020,16.91,1.569e-11,0.02638,9.913e-6
12875,17.89,1.626e-11,0.02505,1.129e-5
13099,27.75,0.07694,0.05894,3.1e-5
3941,28.14,0.05103,0.05325,3.201e-5
12981,30.17,2.963e-11,0.05544,3.75e-5
12812,32.76,3.782e-11,0.06017,4.522e-5
13002,33.2,3.855e-11,0.05638,4.66e-5
13268,43.68,0.05609,0.09605,8.662e-5
13087,49.96,0.05609,0.1199,1.171e-4
12891,52.99,5.97e-11,0.127,1.336e-4
6710,55.23,0.01588,0.13,1.466e-4
8284,57.03,0.04407,0.1309,1.574e-4
12856,58.65,0.04484,0.1312,1.676e-4
12782,61.16,7.104e-11,0.136,1.84e-4
5390,64.04,0.05435,0.1428,2.039e-4
3771,64.5,7.853e-11,0.1379,2.072e-4
4836,66.73,8.389e-11,0.1416,2.235e-4
109,69.25,7.769e-11,0.1468,2.427e-4
5727,69.25,7.495e-11,0.1404,2.427e-4
590,69.61,9.046e-11,0.1361,2.455e-4
10111,71.77,8.567e-11,0.1399,2.628e-4
13015,71.83,0.0292,0.1347,2.632e-4
9121,72.42,8.96e-11,0.1321,2.68e-4
11770,80.62,0.01669,0.1616,3.401e-4
10005,83.87,1.118e-10,0.1704,3.713e-4
6528,85.46,0.1687,0.1717,3.87e-4
10706,85.86,0.2447,0.1678,3.91e-4
13284,89.95,1.194e-10,0.1802,4.334e-4
12817,92.56,0.06921,0.1862,4.617e-4
5595,93.19,1.035e-10,0.1834,4.686e-4
12933,100.1,0.08867,0.2088,5.492e-4
12887,100.2,0.07858,0.2033,5.499e-4
12946,100.3,0.05339,0.1983,5.513e-4
8043,103.2,1.439e-10,0.2057,5.874e-4
5840,109.9,1.542e-10,0.23,6.742e-4
10540,110.6,1.578e-10,0.2277,6.843e-4
2276,113,1.629e-10,0.2327,7.169e-4
12334,113.7,1.556e-10,0.2301,7.263e-4
2567,114.1,0.03574,0.2268,7.33e-4
2197,118.1,0.4335,0.2373,7.847e-4
3981,118.2,6.052e-7,0.2324,7.86e-4
12972,123.1,0.1282,0.2455,8.488e-4
13001,124.3,0.06128,0.2446,8.638e-4
949,125.4,0.005927,0.2438,8.795e-4
6442,125.5,0.2547,0.2389,8.797e-4
9994,127.7,0.0563,0.242,9.093e-4
2711,130.4,1.895e-10,0.2467,9.456e-4
10040,130.9,2.024e-10,0.2438,9.529e-4
9592,132.3,1.781e-10,0.244,9.717e-4
7707,134.2,2.099e-10,0.2459,9.98e-4
12882,135.7,0.2252,0.2468,0.00102
10511,136.5,1.954e-10,0.2448,0.00103
9953,139,2.205e-10,0.249,0.001066
8581,141,2.233e-10,0.2513,0.001095
11570,144.5,2.418e-10,0.2585,0.001146
4611,146,2.331e-10,0.2591,0.001168
410,148.8,2.511e-10,0.2641,0.00121
1319,151.6,0.396,0.269,0.001253
12989,153.2,0.1578,0.2699,0.001278
8285,153.6,2.491e-10,0.267,0.001284
13198,154.6,2.503e-10,0.2661,0.0013
869,157.9,0.7659,0.2725,0.001352
2867,158.6,2.745e-10,0.2706,0.001363
2022,160.5,2.568e-10,0.2724,0.001392
11578,161.8,0.09597,0.2727,0.001414
12860,162.3,0.05939,0.2704,0.001422
5771,162.7,0.0781,0.2676,0.001428
13054,165.5,0.1578,0.2723,0.001474
11835,170.5,3.142e-10,0.2837,0.001556
4922,171.8,0.05283,0.2838,0.001578
9193,176.1,2.972e-10,0.293,0.001651
2985,177.3,0.03776,0.2927,0.001672
13071,184.3,0.07945,0.3102,0.001795
8827,185,0.09176,0.3083,0.001807
6241,185.1,0.1345,0.3048,0.001809
1481,185.9,0.05282,0.3033,0.001824
9703,186.2,0.03675,0.3007,0.00183
12913,190.9,0.08873,0.3107,0.001914
11531,191.2,0.2052,0.3077,0.00192
4563,191.6,0.335,0.3054,0.001928
12963,191.7,0.1918,0.3022,0.00193
2134,193,3.215e-10,0.3024,0.001954
9347,197,4.104e-10,0.3101,0.002027
6464,197.4,0.1162,0.3077,0.002035
1607,198.8,4.086e-10,0.3082,0.002061
11724,199.2,0.0339,0.3059,0.002069
