target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
MGG_01778T0,0,0,-4.040787152334711,0.09462340081134878,6.337822958460517,5.443338461263337,0.002749521606777596,-0.0017222349483997264,0.006204066374327564,0.006204066374327564
MGG_13624T0,0,0,-3.103269214685141,0.0798651431754377,6.68756444062994,3.211961244120906,0.0022433248382822063,5.586319368114535e-4,0.004135116256150957,0.004135116256150957
MGG_06653T0,0,0,-3.1803426417405696,0.07128169312833736,6.938033074036967,3.3735600040167206,0.0018361171132753303,0.001214229475111831,0.0032449626619671284,0.0032449626619671284
MGG_10066T0,0,0,-2.1700177995491816,0.05342179849134961,7.681955995873643,1.5703113611997095,8.679345374383701e-4,1.104820819908687e-4,0.0019859540166119937,0.0019859540166119937
MGG_02889T0,0,0,-2.7471123160842543,0.050169733591588245,9.314141079345237,2.515657400240306,1.6487580410932216e-4,8.185965449138377e-6,0.002352126364541616,0.002352126364541616
MGG_05913T0,0,0,-2.6521469084846743,0.04517705890636216,8.51088483871494,2.344656290224631,3.3246763908100386e-4,-2.8964439454455873e-4,0.0017084990123479127,0.0017084990123479127
MGG_06691T0,0,0,-2.925427267340175,0.05726369155242703,7.389521046559675,2.8536528969847557,9.512491439260971e-4,4.657480845073592e-4,0.002327881226285406,0.002327881226285406
MGG_11168T0,0,0,-2.587968753173583,0.059975016700523597,7.817696784119502,2.2349254242197616,7.734871086130486e-4,0.002823515519615036,0.001876829046042012,0.002823515519615036
MGG_04774T0,0,0,-3.661973040435332,0.04883287823739778,7.9506383755098415,4.470109778732114,5.883983741373753e-4,-4.4700471356002534e-4,0.0017962516228111425,0.0017962516228111425
MGG_13762T0,0,0,-2.596430176862697,0.04854725828009194,7.919514565526427,2.2482940847786614,5.439348694908192e-4,0.0011723606368717603,0.001812901417023136,0.001812901417023136
MGG_05406T0,0,0,-5.339937855440635,0.09848277834989808,6.379647292497167,9.506589080408338,0.0037843470246729056,-0.0013688763961329695,0.005914510606842247,0.005914510606842247
MGG_15824T0,0,0,-3.70601210574638,0.09471488350589093,6.298690586175836,4.579677778611642,0.002482691430200955,-2.288874820911271e-4,0.006488217727333532,0.006488217727333532
MGG_03685T0,0,0,-5.026046841938864,0.07905593619060154,6.699556352495726,8.423710734985034,0.0021675297682002682,0.0028251440275326683,0.004082311278772195,0.004082311278772195
MGG_00620T0,0,0,-2.6437443146759665,0.05275253934485603,7.686331175263268,2.3302950925728854,8.008440121493297e-4,-5.020584357280731e-5,0.001981986395181254,0.001981986395181254
