comparison_type,n_comparisons,mean_pearson,median_pearson,sd_pearson,min_pearson,max_pearson,mean_spearman,median_spearman
Biological replicates,132,0.9485673529050935,0.9692595227054095,0.05695168354711114,0.7433305903092113,1,0.9457920876453173,0.9665729968986736
"Different strain, same time",1200,0.8595336449543326,0.8891027407993477,0.11041192186864121,0.5616810827369106,0.9865124177578665,0.8596245284764745,0.8845706539604692
"Same strain, different time",618,0.7230472955884253,0.7030118351398177,0.11822232979831794,0.5106005831082129,0.9849299173115897,0.727540743961836,0.7073803840916649
"Different strains, different time",3600,0.7063643884738792,0.6944817294915784,0.10746256108228876,0.493973081910434,0.9741343203907731,0.7124426715506663,0.701525712187538
